x,a,b,c,d,e
-1.492959976196289062e+00,-2.995732307434082031e+00,-2.890371799468994141e+00,-3.135494232177734375e+00,-4.234106540679931641e+00,-9.343909263610839844e+00
-1.468879938125610352e+00,-2.302585124969482422e+00,-3.091042518615722656e+00,-3.258096456527709961e+00,-4.510859489440917969e+00,-9.454697608947753906e+00
-1.444800019264221191e+00,-2.944438934326171875e+00,-3.178053855895996094e+00,-3.433987140655517578e+00,-4.564348220825195312e+00,-9.581834793090820312e+00
-1.420719981193542480e+00,-3.178053855895996094e+00,-3.583518981933593750e+00,-3.555348157882690430e+00,-4.875197410583496094e+00,-9.675582885742187500e+00
-1.396640062332153320e+00,-3.526360511779785156e+00,-3.496507644653320312e+00,-3.737669706344604492e+00,-4.990432739257812500e+00,-9.762269973754882812e+00
-1.372560024261474609e+00,-3.583518981933593750e+00,-3.496507644653320312e+00,-3.688879489898681641e+00,-5.135798454284667969e+00,-9.874573707580566406e+00
-1.348479986190795898e+00,-3.555348157882690430e+00,-3.713572025299072266e+00,-4.219507694244384766e+00,-5.262690067291259766e+00,-9.976087570190429688e+00
-1.324399948120117188e+00,-3.663561582565307617e+00,-3.850147724151611328e+00,-4.127134323120117188e+00,-5.455321311950683594e+00,-1.007802867889404297e+01
-1.300320029258728027e+00,-3.988984107971191406e+00,-4.143134593963623047e+00,-4.204692840576171875e+00,-5.749392986297607422e+00,-1.014944839477539062e+01
-1.276239991188049316e+00,-4.248495101928710938e+00,-4.248495101928710938e+00,-4.521788597106933594e+00,-5.866467952728271484e+00,-1.025386238098144531e+01
-1.252159953117370605e+00,-4.094344615936279297e+00,-4.174387454986572266e+00,-4.477336883544921875e+00,-6.161207199096679688e+00,-1.034586334228515625e+01
-1.228080034255981445e+00,-4.430816650390625000e+00,-4.077537536621093750e+00,-4.644391059875488281e+00,-6.244166851043701172e+00,-1.042916202545166016e+01
-1.203999996185302734e+00,-4.477336883544921875e+00,-4.510859489440917969e+00,-4.812184333801269531e+00,-6.410174846649169922e+00,-1.052029323577880859e+01
-1.179919958114624023e+00,-4.691348075866699219e+00,-4.615120410919189453e+00,-4.962844848632812500e+00,-6.656726360321044922e+00,-1.061611843109130859e+01
-1.155839920043945312e+00,-4.521788597106933594e+00,-4.912654876708984375e+00,-5.056245803833007812e+00,-6.870053291320800781e+00,-1.069912338256835938e+01
