x,a,b,c,d,e
-1.492959976196289062e+00,-6.985641956329345703e+00,-6.975413799285888672e+00,-7.036148548126220703e+00,-7.266129016876220703e+00,-8.456806182861328125e+00
-1.468879938125610352e+00,-7.039660453796386719e+00,-7.095064163208007812e+00,-7.111512184143066406e+00,-7.346010208129882812e+00,-8.589885711669921875e+00
-1.444800019264221191e+00,-7.179307937622070312e+00,-7.179307937622070312e+00,-7.163172245025634766e+00,-7.458762645721435547e+00,-8.705330848693847656e+00
-1.420719981193542480e+00,-7.192182064056396484e+00,-7.229838848114013672e+00,-7.322510242462158203e+00,-7.556950569152832031e+00,-8.816704750061035156e+00
-1.396640062332153320e+00,-7.304515838623046875e+00,-7.329749584197998047e+00,-7.387709140777587891e+00,-7.665753364562988281e+00,-8.917042732238769531e+00
-1.372560024261474609e+00,-7.388946056365966797e+00,-7.424165248870849609e+00,-7.458762645721435547e+00,-7.753194332122802734e+00,-9.036581993103027344e+00
-1.348479986190795898e+00,-7.483244419097900391e+00,-7.531016349792480469e+00,-7.648739814758300781e+00,-7.779048442840576172e+00,-9.128262519836425781e+00
-1.324399948120117188e+00,-7.601402282714843750e+00,-7.618742465972900391e+00,-7.700747966766357422e+00,-7.878534317016601562e+00,-9.248213768005371094e+00
-1.300320029258728027e+00,-7.717351436614990234e+00,-7.727094650268554688e+00,-7.755338668823242188e+00,-8.006033897399902344e+00,-9.350971221923828125e+00
-1.276239991188049316e+00,-7.775695800781250000e+00,-7.800981998443603516e+00,-7.859026908874511719e+00,-8.059592247009277344e+00,-9.460242271423339844e+00
-1.252159953117370605e+00,-7.876638412475585938e+00,-7.861341953277587891e+00,-7.965892791748046875e+00,-8.174702644348144531e+00,-9.587337493896484375e+00
-1.228080034255981445e+00,-7.973844528198242188e+00,-7.969357967376708984e+00,-8.035279273986816406e+00,-8.289288520812988281e+00,-9.691593170166015625e+00
-1.203999996185302734e+00,-8.054840087890625000e+00,-8.058643341064453125e+00,-8.097426414489746094e+00,-8.321421623229980469e+00,-9.805433273315429688e+00
-1.179919958114624023e+00,-8.144968986511230469e+00,-8.172447204589843750e+00,-8.209580421447753906e+00,-8.449770927429199219e+00,-9.904986381530761719e+00
-1.155839920043945312e+00,-8.223090171813964844e+00,-8.236949920654296875e+00,-8.278936386108398438e+00,-8.526747703552246094e+00,-1.000306129455566406e+01
-1.131760001182556152e+00,-8.267191886901855469e+00,-8.298539161682128906e+00,-8.346167564392089844e+00,-8.602636337280273438e+00,-1.012635135650634766e+01
