x,a,b,c,d,e
-1.649999976158142090e+00,-2.498600097656250000e+03,-7.769800415039062500e+02,-2.533282165527343750e+02,-6.856243896484375000e+01,-1.778455352783203125e+01
-1.641729354858398438e+00,-2.466807617187500000e+03,-7.670938110351562500e+02,-2.501049346923828125e+02,-6.769100189208984375e+01,-1.757035636901855469e+01
-1.633458614349365234e+00,-2.435015136718750000e+03,-7.572073974609375000e+02,-2.468816070556640625e+02,-6.681958007812500000e+01,-1.735646057128906250e+01
-1.625187993049621582e+00,-2.403222900390625000e+03,-7.473210449218750000e+02,-2.436583557128906250e+02,-6.594823455810546875e+01,-1.714288711547851562e+01
-1.616917252540588379e+00,-2.371430175781250000e+03,-7.374345703125000000e+02,-2.404350433349609375e+02,-6.507690429687500000e+01,-1.692964363098144531e+01
-1.608646631240844727e+00,-2.339637695312500000e+03,-7.275482788085937500e+02,-2.372117309570312500e+02,-6.420564270019531250e+01,-1.671674156188964844e+01
-1.600375890731811523e+00,-2.307844970703125000e+03,-7.176618041992187500e+02,-2.339884490966796875e+02,-6.333442687988281250e+01,-1.650421714782714844e+01
-1.592105269432067871e+00,-2.276052734375000000e+03,-7.077755126953125000e+02,-2.307651824951171875e+02,-6.246327209472656250e+01,-1.629206085205078125e+01
-1.583834528923034668e+00,-2.244260009765625000e+03,-6.978889770507812500e+02,-2.275418853759765625e+02,-6.159215545654296875e+01,-1.608030509948730469e+01
-1.575563907623291016e+00,-2.212467773437500000e+03,-6.880027465820312500e+02,-2.243186645507812500e+02,-6.072113037109375000e+01,-1.586896514892578125e+01
-1.567293167114257812e+00,-2.180675048828125000e+03,-6.781162109375000000e+02,-2.210953521728515625e+02,-5.985012435913085938e+01,-1.565805053710937500e+01
-1.559022545814514160e+00,-2.148882812500000000e+03,-6.682299194335937500e+02,-2.178721008300781250e+02,-5.897922515869140625e+01,-1.544759178161621094e+01
-1.550751805305480957e+00,-2.117090087890625000e+03,-6.583435058593750000e+02,-2.146488494873046875e+02,-5.810838317871093750e+01,-1.523761367797851562e+01
