a,b,c,d,e,f
-1.954795479547954784e+01,nan,nan,nan,nan,nan
-1.954395439543954538e+01,nan,nan,nan,nan,nan
-1.953995399539953937e+01,nan,nan,nan,nan,nan
-1.953595359535953691e+01,nan,nan,nan,nan,nan
-1.953195319531953089e+01,nan,nan,nan,nan,nan
-1.952795279527952843e+01,nan,nan,nan,nan,nan
-1.952395239523952242e+01,nan,nan,nan,nan,nan
-1.951995199519951996e+01,nan,nan,nan,nan,nan
-1.951595159515951750e+01,nan,nan,nan,nan,nan
-1.951195119511951148e+01,nan,nan,nan,nan,nan
-1.950795079507950902e+01,nan,nan,nan,nan,nan
-1.950395039503950301e+01,nan,nan,nan,nan,nan
-1.949994999499950055e+01,nan,nan,nan,nan,nan
-1.949594959495949453e+01,nan,nan,nan,nan,nan
-1.949194919491949207e+01,nan,nan,nan,nan,nan
-1.948794879487948961e+01,nan,nan,nan,nan,nan
-1.948394839483948360e+01,nan,nan,nan,nan,nan
-1.947994799479948114e+01,nan,nan,nan,nan,nan
-1.947594759475947512e+01,nan,nan,nan,nan,nan
-1.947194719471947266e+01,nan,nan,nan,nan,nan
-1.946794679467946665e+01,nan,nan,nan,nan,nan
-1.946394639463946419e+01,nan,nan,nan,nan,nan
-1.945994599459945817e+01,nan,nan,nan,nan,nan
-1.945594559455945571e+01,nan,nan,nan,nan,nan
-1.945194519451945325e+01,nan,nan,nan,nan,nan
-1.944794479447944724e+01,nan,nan,nan,nan,nan
-1.944394439443944478e+01,nan,nan,nan,nan,nan
-1.943994399439943876e+01,nan,nan,nan,nan,nan
-1.943594359435943630e+01,nan,nan,nan,nan,nan
-1.943194319431943029e+01,nan,nan,nan,nan,nan
-1.942794279427942783e+01,nan,nan,nan,nan,nan
-1.942394239423942537e+01,nan,nan,nan,nan,nan
-1.941994199419941936e+01,nan,nan,nan,nan,nan
-1.941594159415941689e+01,nan,nan,nan,nan,nan
-1.941194119411941088e+01,nan,nan,nan,nan,nan
-1.940794079407940842e+01,nan,nan,nan,nan,nan
-1.940394039403940241e+01,nan,nan,nan,nan,nan
-1.939993999399939995e+01,nan,nan,nan,nan,nan
-1.939593959395939748e+01,nan,nan,nan,nan,nan
-1.939193919391939147e+01,nan,nan,nan,nan,nan
-1.938793879387938901e+01,nan,nan,nan,nan,nan
-1.938393839383938300e+01,nan,nan,nan,nan,nan
-1.937993799379938054e+01,nan,nan,nan,nan,nan
-1.937593759375937452e+01,nan,nan,nan,nan,nan
-1.937193719371937206e+01,nan,nan,nan,nan,nan
-1.936793679367936960e+01,nan,nan,nan,nan,nan
-1.936393639363936359e+01,nan,nan,nan,nan,nan
-1.935993599359936113e+01,nan,nan,nan,nan,nan
-1.935593559355935511e+01,nan,nan,nan,nan,nan
-1.935193519351935265e+01,nan,nan,nan,nan,nan
-1.934793479347934664e+01,nan,nan,nan,nan,nan
-1.934393439343934418e+01,nan,nan,nan,nan,nan
-1.933993399339934172e+01,nan,nan,nan,nan,nan
-1.933593359335933570e+01,nan,nan,nan,nan,nan
-1.933193319331933324e+01,nan,nan,nan,nan,nan
-1.932793279327932723e+01,nan,nan,nan,nan,nan
-1.932393239323932477e+01,nan,nan,nan,nan,nan
-1.931993199319931875e+01,nan,nan,nan,nan,nan
-1.931593159315931629e+01,nan,nan,nan,nan,nan
-1.931193119311931028e+01,nan,nan,nan,nan,nan
-1.930793079307930782e+01,nan,nan,nan,nan,nan
-1.930393039303930536e+01,nan,nan,nan,nan,nan
-1.929992999299929934e+01,nan,nan,nan,nan,nan
-1.929592959295929688e+01,nan,nan,nan,nan,nan
-1.929192919291929087e+01,nan,nan,nan,nan,nan
-1.928792879287928841e+01,nan,nan,nan,nan,nan
-1.928392839283928240e+01,nan,nan,nan,nan,nan
-1.927992799279927993e+01,nan,nan,nan,nan,nan
-1.927592759275927747e+01,nan,nan,nan,nan,nan
-1.927192719271927146e+01,nan,nan,nan,nan,nan
-1.926792679267926900e+01,nan,nan,nan,nan,nan
-1.926392639263926299e+01,nan,nan,nan,nan,nan
-1.925992599259926052e+01,nan,nan,nan,nan,nan
-1.925592559255925451e+01,nan,nan,nan,nan,nan
-1.925192519251925205e+01,nan,nan,nan,nan,nan
-1.924792479247924959e+01,nan,nan,nan,nan,nan
-1.924392439243924358e+01,nan,nan,nan,nan,nan
-1.923992399239924111e+01,nan,nan,nan,nan,nan
-1.923592359235923510e+01,nan,nan,nan,nan,nan
-1.923192319231923264e+01,nan,nan,nan,nan,nan
-1.922792279227922663e+01,nan,nan,nan,nan,nan
-1.922392239223922417e+01,nan,nan,nan,nan,nan
-1.921992199219921815e+01,nan,nan,nan,nan,nan
-1.921592159215921569e+01,nan,nan,nan,nan,nan
-1.921192119211921323e+01,nan,nan,nan,nan,nan
-1.920792079207920722e+01,nan,nan,nan,nan,nan
-1.920392039203920476e+01,nan,nan,nan,nan,nan
-1.919991999199919874e+01,nan,nan,nan,nan,nan
-1.919591959195919628e+01,nan,nan,nan,nan,nan
-1.919191919191919027e+01,nan,nan,nan,nan,nan
-1.918791879187918781e+01,nan,nan,nan,nan,nan
-1.918391839183918535e+01,nan,nan,nan,nan,nan
-1.917991799179917933e+01,nan,nan,nan,nan,nan
-1.917591759175917687e+01,nan,nan,nan,nan,nan
-1.917191719171917086e+01,nan,nan,nan,nan,nan
-1.916791679167916840e+01,nan,nan,nan,nan,nan
-1.916391639163916238e+01,nan,nan,nan,nan,nan
-1.915991599159915992e+01,nan,nan,nan,nan,nan
