x,a,b,c,d,e
-1.492959976196289062e+00,-3.178053855895996094e+00,-3.044522523880004883e+00,-3.401197433471679688e+00,-5.451038360595703125e+00,-1.017286586761474609e+01
-1.468879938125610352e+00,-3.433987140655517578e+00,-3.367295742034912109e+00,-3.891820430755615234e+00,-5.525453090667724609e+00,-1.024363136291503906e+01
-1.444800019264221191e+00,-3.178053855895996094e+00,-3.663561582565307617e+00,-3.583518981933593750e+00,-5.802118301391601562e+00,-1.031649112701416016e+01
-1.420719981193542480e+00,-3.610918045043945312e+00,-3.295836925506591797e+00,-3.713572025299072266e+00,-5.883322238922119141e+00,-1.040268611907958984e+01
-1.396640062332153320e+00,-3.526360511779785156e+00,-3.688879489898681641e+00,-4.007333278656005859e+00,-6.098074436187744141e+00,-1.047325134277343750e+01
-1.372560024261474609e+00,-3.850147724151611328e+00,-3.806662559509277344e+00,-4.127134323120117188e+00,-6.280395984649658203e+00,-1.052945232391357422e+01
-1.348479986190795898e+00,-3.891820430755615234e+00,-3.988984107971191406e+00,-4.262680053710937500e+00,-6.523562431335449219e+00,-1.060348606109619141e+01
-1.324399948120117188e+00,-3.637586116790771484e+00,-4.043051242828369141e+00,-4.499809741973876953e+00,-6.744059085845947266e+00,-1.066401290893554688e+01
-1.300320029258728027e+00,-4.127134323120117188e+00,-3.970291852951049805e+00,-4.653960227966308594e+00,-6.875232219696044922e+00,-1.074134063720703125e+01
-1.276239991188049316e+00,-4.343805313110351562e+00,-4.369447708129882812e+00,-4.691348075866699219e+00,-7.094234943389892578e+00,-1.080312061309814453e+01
-1.252159953117370605e+00,-4.343805313110351562e+00,-4.499809741973876953e+00,-5.023880481719970703e+00,-7.303170204162597656e+00,-1.086484718322753906e+01
-1.228080034255981445e+00,-4.532599449157714844e+00,-4.672828674316406250e+00,-5.081404209136962891e+00,-7.474771976470947266e+00,-1.092665767669677734e+01
-1.203999996185302734e+00,-4.595119953155517578e+00,-4.795790672302246094e+00,-5.278114795684814453e+00,-7.681560516357421875e+00,-1.100021457672119141e+01
-1.179919958114624023e+00,-4.595119953155517578e+00,-4.948760032653808594e+00,-5.416100502014160156e+00,-7.853604793548583984e+00,-1.105491352081298828e+01
-1.155839920043945312e+00,-4.852030277252197266e+00,-4.955827236175537109e+00,-5.541263580322265625e+00,-8.039157867431640625e+00,-1.111893463134765625e+01
-1.131760001182556152e+00,-5.181783676147460938e+00,-5.288267135620117188e+00,-5.686975479125976562e+00,-8.282483100891113281e+00,-1.117059040069580078e+01
-1.107679963111877441e+00,-5.262690067291259766e+00,-5.323009967803955078e+00,-5.855072021484375000e+00,-8.448486328125000000e+00,-1.123082733154296875e+01
-1.083600044250488281e+00,-5.433722019195556641e+00,-5.602118968963623047e+00,-6.035481452941894531e+00,-8.640472412109375000e+00,-1.128725337982177734e+01
-1.059520006179809570e+00,-5.616771221160888672e+00,-5.710426807403564453e+00,-6.186208724975585938e+00,-8.811800956726074219e+00,-1.135166454315185547e+01
