lines,unet,naive,ours
7.800000000000000000e+01,3.195820999145507812e+01,2.283200836181640625e+01,3.320554351806640625e+01
7.900000000000000000e+01,3.201246261596679688e+01,2.283574104309082031e+01,3.315095138549804688e+01
8.000000000000000000e+01,3.202511596679687500e+01,2.284969329833984375e+01,3.331927871704101562e+01
8.100000000000000000e+01,3.205549621582031250e+01,2.285271835327148438e+01,3.339463806152343750e+01
8.200000000000000000e+01,3.209412002563476562e+01,2.285608673095703125e+01,3.355151367187500000e+01
8.300000000000000000e+01,3.208302688598632812e+01,2.295392990112304688e+01,3.367835998535156250e+01
8.400000000000000000e+01,3.207996368408203125e+01,2.296694755554199219e+01,3.386038970947265625e+01
8.500000000000000000e+01,3.214733886718750000e+01,2.297059249877929688e+01,3.391331100463867188e+01
8.600000000000000000e+01,3.217969894409179688e+01,2.297660064697265625e+01,3.389695739746093750e+01
8.700000000000000000e+01,3.221450424194335938e+01,2.298061370849609375e+01,3.396640396118164062e+01
8.800000000000000000e+01,3.224164199829101562e+01,2.299128723144531250e+01,3.411332702636718750e+01
8.900000000000000000e+01,3.226199340820312500e+01,2.299442481994628906e+01,3.408509063720703125e+01
9.000000000000000000e+01,3.230733871459960938e+01,2.299884414672851562e+01,3.415526580810546875e+01
9.100000000000000000e+01,3.233769607543945312e+01,2.303514099121093750e+01,3.439244079589843750e+01
9.200000000000000000e+01,3.240255737304687500e+01,2.303902626037597656e+01,3.461338806152343750e+01
9.300000000000000000e+01,3.251277160644531250e+01,2.316306877136230469e+01,3.488793182373046875e+01
9.400000000000000000e+01,3.256294631958007812e+01,2.318399047851562500e+01,3.505025100708007812e+01
9.500000000000000000e+01,3.262306594848632812e+01,2.335113716125488281e+01,3.512718200683593750e+01
9.600000000000000000e+01,3.264654922485351562e+01,2.335475921630859375e+01,3.529297637939453125e+01
9.700000000000000000e+01,3.263518524169921875e+01,2.336673736572265625e+01,3.523012924194335938e+01
9.800000000000000000e+01,3.266907119750976562e+01,2.337186813354492188e+01,3.537085342407226562e+01
9.900000000000000000e+01,3.272703552246093750e+01,2.337664031982421875e+01,3.549433135986328125e+01
1.000000000000000000e+02,3.272628402709960938e+01,2.337666702270507812e+01,3.555025863647460938e+01
1.010000000000000000e+02,3.270675277709960938e+01,2.337890243530273438e+01,3.545423126220703125e+01
1.020000000000000000e+02,3.270447158813476562e+01,2.337884521484375000e+01,3.552579116821289062e+01
1.030000000000000000e+02,3.273910903930664062e+01,2.338314056396484375e+01,3.556901168823242188e+01
1.040000000000000000e+02,3.276756668090820312e+01,2.338683319091796875e+01,3.567677307128906250e+01
1.050000000000000000e+02,3.277901458740234375e+01,2.341729927062988281e+01,3.584107971191406250e+01
1.060000000000000000e+02,3.282418441772460938e+01,2.342174911499023438e+01,3.593735504150390625e+01
1.070000000000000000e+02,3.279981231689453125e+01,2.344275474548339844e+01,3.588187789916992188e+01
1.080000000000000000e+02,3.275329589843750000e+01,2.344705200195312500e+01,3.593250656127929688e+01
1.090000000000000000e+02,3.276186752319335938e+01,2.345007705688476562e+01,3.600735855102539062e+01
1.100000000000000000e+02,3.273525238037109375e+01,2.350634574890136719e+01,3.611803054809570312e+01
1.110000000000000000e+02,3.276858139038085938e+01,2.351079177856445312e+01,3.622888183593750000e+01
1.120000000000000000e+02,3.276771163940429688e+01,2.351078796386718750e+01,3.635636138916015625e+01
1.130000000000000000e+02,3.274405670166015625e+01,2.353517341613769531e+01,3.637105560302734375e+01
1.140000000000000000e+02,3.278765106201171875e+01,2.353983306884765625e+01,3.641053009033203125e+01
1.150000000000000000e+02,3.281027221679687500e+01,2.354365539550781250e+01,3.652815246582031250e+01
1.160000000000000000e+02,3.286884689331054688e+01,2.379043388366699219e+01,3.701556015014648438e+01
1.170000000000000000e+02,3.286960983276367188e+01,2.379077720642089844e+01,3.709836959838867188e+01
1.180000000000000000e+02,3.284949493408203125e+01,2.380115699768066406e+01,3.706226730346679688e+01
1.190000000000000000e+02,3.285294342041015625e+01,2.380676078796386719e+01,3.712700653076171875e+01
1.200000000000000000e+02,3.286614227294921875e+01,2.381227493286132812e+01,3.715581512451171875e+01
1.210000000000000000e+02,3.288992309570312500e+01,2.381653785705566406e+01,3.717998504638671875e+01
1.220000000000000000e+02,3.291406250000000000e+01,2.382197380065917969e+01,3.736406326293945312e+01
1.230000000000000000e+02,3.291340637207031250e+01,2.382197570800781250e+01,3.739270782470703125e+01
1.240000000000000000e+02,3.291828918457031250e+01,2.384902763366699219e+01,3.745880889892578125e+01
1.250000000000000000e+02,3.288596725463867188e+01,2.385221481323242188e+01,3.745547866821289062e+01
1.260000000000000000e+02,3.284839630126953125e+01,2.386841011047363281e+01,3.745394134521484375e+01
1.270000000000000000e+02,3.282033538818359375e+01,2.398908996582031250e+01,3.762139129638671875e+01
1.280000000000000000e+02,3.282372665405273438e+01,2.399381828308105469e+01,3.770639038085937500e+01
1.290000000000000000e+02,3.282323455810546875e+01,2.399382400512695312e+01,3.767635726928710938e+01
1.300000000000000000e+02,3.277674484252929688e+01,2.399656295776367188e+01,3.768723678588867188e+01
1.310000000000000000e+02,3.271667861938476562e+01,2.400476074218750000e+01,3.772883605957031250e+01
1.320000000000000000e+02,3.266692733764648438e+01,2.400665664672851562e+01,3.767425155639648438e+01
1.330000000000000000e+02,3.263525390625000000e+01,2.404299926757812500e+01,3.771099472045898438e+01
1.340000000000000000e+02,3.259600830078125000e+01,2.405441665649414062e+01,3.774651336669921875e+01
1.350000000000000000e+02,3.256167602539062500e+01,2.405715942382812500e+01,3.774572372436523438e+01
1.360000000000000000e+02,3.255168533325195312e+01,2.405941200256347656e+01,3.768855285644531250e+01
1.370000000000000000e+02,3.258593368530273438e+01,2.408587265014648438e+01,3.787491226196289062e+01
1.380000000000000000e+02,3.259978866577148438e+01,2.409231948852539062e+01,3.800315093994140625e+01
1.390000000000000000e+02,3.257778549194335938e+01,2.409577369689941406e+01,3.803116226196289062e+01
1.400000000000000000e+02,3.256252288818359375e+01,2.411075592041015625e+01,3.807412338256835938e+01
1.410000000000000000e+02,3.256150817871093750e+01,2.411068344116210938e+01,3.808829879760742188e+01
1.420000000000000000e+02,3.258044815063476562e+01,2.411704254150390625e+01,3.820561981201171875e+01
1.430000000000000000e+02,3.259872817993164062e+01,2.412179756164550781e+01,3.829323577880859375e+01
1.440000000000000000e+02,3.268405151367187500e+01,2.432101440429687500e+01,3.846860504150390625e+01
1.450000000000000000e+02,3.269118881225585938e+01,2.432745742797851562e+01,3.858786010742187500e+01
1.460000000000000000e+02,3.268392562866210938e+01,2.435317611694335938e+01,3.867321777343750000e+01
1.470000000000000000e+02,3.268810653686523438e+01,2.435681915283203125e+01,3.877987670898437500e+01
1.480000000000000000e+02,3.263004684448242188e+01,2.436404991149902344e+01,3.875474548339843750e+01
1.490000000000000000e+02,3.262061309814453125e+01,2.436592102050781250e+01,3.879565048217773438e+01
1.500000000000000000e+02,3.257411956787109375e+01,2.445532608032226562e+01,3.895104980468750000e+01
1.510000000000000000e+02,3.254332733154296875e+01,2.445684242248535156e+01,3.896542358398437500e+01
1.520000000000000000e+02,3.251921844482421875e+01,2.445958900451660156e+01,3.895813369750976562e+01
1.530000000000000000e+02,3.253656387329101562e+01,2.446512985229492188e+01,3.902178192138671875e+01
1.540000000000000000e+02,3.250199890136718750e+01,2.446725082397460938e+01,3.908200073242187500e+01
1.550000000000000000e+02,3.248220443725585938e+01,2.446972656250000000e+01,3.902481460571289062e+01
1.560000000000000000e+02,3.249679183959960938e+01,2.447421073913574219e+01,3.916357421875000000e+01
1.570000000000000000e+02,3.247538757324218750e+01,2.447607803344726562e+01,3.912287139892578125e+01
1.580000000000000000e+02,3.251277542114257812e+01,2.470527267456054688e+01,3.955443191528320312e+01
1.590000000000000000e+02,3.252588653564453125e+01,2.471416664123535156e+01,3.960523223876953125e+01
1.600000000000000000e+02,3.252584457397460938e+01,2.484003067016601562e+01,3.958306884765625000e+01
1.610000000000000000e+02,3.253996658325195312e+01,2.484566688537597656e+01,3.970811462402343750e+01
1.620000000000000000e+02,3.255067443847656250e+01,2.485313415527343750e+01,3.982892227172851562e+01
1.630000000000000000e+02,3.254853820800781250e+01,2.485308647155761719e+01,3.983521652221679688e+01
1.640000000000000000e+02,3.255052947998046875e+01,2.485885238647460938e+01,3.986722564697265625e+01
1.650000000000000000e+02,3.282588577270507812e+01,2.533889389038085938e+01,4.006291198730468750e+01
1.660000000000000000e+02,3.284896087646484375e+01,2.534529876708984375e+01,4.016379928588867188e+01
1.670000000000000000e+02,3.283544921875000000e+01,2.535038185119628906e+01,4.016199111938476562e+01
1.680000000000000000e+02,3.280630874633789062e+01,2.535350608825683594e+01,4.016542053222656250e+01
1.690000000000000000e+02,3.280519866943359375e+01,2.535350036621093750e+01,4.015002441406250000e+01
1.700000000000000000e+02,3.280700683593750000e+01,2.535878181457519531e+01,4.030165863037109375e+01
1.710000000000000000e+02,3.281286621093750000e+01,2.539281082153320312e+01,4.051322555541992188e+01
1.720000000000000000e+02,3.278911209106445312e+01,2.539495468139648438e+01,4.050732421875000000e+01
1.730000000000000000e+02,3.280266189575195312e+01,2.540131759643554688e+01,4.067163467407226562e+01
1.740000000000000000e+02,3.275985336303710938e+01,2.546723365783691406e+01,4.068283462524414062e+01
1.750000000000000000e+02,3.276956939697265625e+01,2.547316360473632812e+01,4.086782836914062500e+01
1.760000000000000000e+02,3.273773574829101562e+01,2.547863197326660156e+01,4.082668304443359375e+01
1.770000000000000000e+02,3.273006820678710938e+01,2.550285339355468750e+01,4.085304641723632812e+01
1.780000000000000000e+02,3.271076583862304688e+01,2.550657653808593750e+01,4.087211608886718750e+01
1.790000000000000000e+02,3.270706176757812500e+01,2.553196334838867188e+01,4.099073791503906250e+01
1.800000000000000000e+02,3.273805999755859375e+01,2.571225738525390625e+01,4.098072433471679688e+01
1.810000000000000000e+02,3.275025177001953125e+01,2.572231674194335938e+01,4.109031677246093750e+01
1.820000000000000000e+02,3.272678756713867188e+01,2.572519493103027344e+01,4.108970642089843750e+01
1.830000000000000000e+02,3.270338058471679688e+01,2.572786331176757812e+01,4.109294891357421875e+01
1.840000000000000000e+02,3.266453170776367188e+01,2.581206893920898438e+01,4.122977828979492188e+01
1.850000000000000000e+02,3.264103317260742188e+01,2.582594299316406250e+01,4.120073318481445312e+01
1.860000000000000000e+02,3.260052490234375000e+01,2.583484840393066406e+01,4.123843383789062500e+01
1.870000000000000000e+02,3.255405044555664062e+01,2.583728790283203125e+01,4.122461318969726562e+01
1.880000000000000000e+02,3.256428527832031250e+01,2.584366226196289062e+01,4.141005706787109375e+01
1.890000000000000000e+02,3.254837417602539062e+01,2.584771919250488281e+01,4.139404678344726562e+01
1.900000000000000000e+02,3.253327941894531250e+01,2.585198974609375000e+01,4.143050765991210938e+01
1.910000000000000000e+02,3.253790283203125000e+01,2.585917282104492188e+01,4.150017166137695312e+01
1.920000000000000000e+02,3.251160430908203125e+01,2.586201858520507812e+01,4.152413940429687500e+01
1.930000000000000000e+02,3.249047851562500000e+01,2.586515045166015625e+01,4.153375625610351562e+01
1.940000000000000000e+02,3.245750045776367188e+01,2.586912536621093750e+01,4.152252960205078125e+01
1.950000000000000000e+02,3.244070434570312500e+01,2.589119720458984375e+01,4.161557006835937500e+01
1.960000000000000000e+02,3.240674591064453125e+01,2.591693496704101562e+01,4.177079772949218750e+01
1.970000000000000000e+02,3.235750579833984375e+01,2.591982078552246094e+01,4.174925231933593750e+01
1.980000000000000000e+02,3.232347488403320312e+01,2.592337799072265625e+01,4.176554870605468750e+01
1.990000000000000000e+02,3.229225921630859375e+01,2.593933868408203125e+01,4.174193954467773438e+01
2.000000000000000000e+02,3.224300003051757812e+01,2.594915771484375000e+01,4.176056289672851562e+01
2.010000000000000000e+02,3.224340438842773438e+01,2.595565986633300781e+01,4.187094879150390625e+01
2.020000000000000000e+02,3.216681671142578125e+01,2.622129631042480469e+01,4.185878753662109375e+01
2.030000000000000000e+02,3.229748153686523438e+01,2.677522659301757812e+01,4.232601547241210938e+01
2.040000000000000000e+02,3.230371093750000000e+01,2.678366851806640625e+01,4.241346740722656250e+01
2.050000000000000000e+02,3.228414154052734375e+01,2.678907012939453125e+01,4.242635726928710938e+01
2.060000000000000000e+02,3.222248458862304688e+01,2.691171836853027344e+01,4.244147872924804688e+01
2.070000000000000000e+02,3.218521881103515625e+01,2.696022415161132812e+01,4.246143341064453125e+01
2.080000000000000000e+02,3.214017105102539062e+01,2.696391296386718750e+01,4.245861816406250000e+01
2.090000000000000000e+02,3.213653945922851562e+01,2.697375869750976562e+01,4.254300689697265625e+01
2.100000000000000000e+02,3.211043548583984375e+01,2.697810363769531250e+01,4.255030822753906250e+01
2.110000000000000000e+02,3.209608459472656250e+01,2.698377990722656250e+01,4.255994796752929688e+01
2.120000000000000000e+02,3.220999908447265625e+01,2.742774009704589844e+01,4.266921997070312500e+01
2.130000000000000000e+02,3.220807647705078125e+01,2.742783355712890625e+01,4.265821456909179688e+01
2.140000000000000000e+02,3.220626831054687500e+01,2.747441291809082031e+01,4.282380676269531250e+01
2.150000000000000000e+02,3.220810317993164062e+01,2.748287200927734375e+01,4.302186965942382812e+01
2.160000000000000000e+02,3.220732879638671875e+01,2.748287200927734375e+01,4.303649139404296875e+01
2.170000000000000000e+02,3.217072296142578125e+01,2.749370765686035156e+01,4.305973434448242188e+01
2.180000000000000000e+02,3.216073989868164062e+01,2.750044059753417969e+01,4.308038711547851562e+01
2.190000000000000000e+02,3.208576965332031250e+01,2.756115913391113281e+01,4.308880615234375000e+01
2.200000000000000000e+02,3.205745697021484375e+01,2.756623077392578125e+01,4.311255645751953125e+01
2.210000000000000000e+02,3.205605316162109375e+01,2.756605529785156250e+01,4.310765838623046875e+01
2.220000000000000000e+02,3.210128784179687500e+01,2.787284851074218750e+01,4.312404632568359375e+01
2.230000000000000000e+02,3.206140899658203125e+01,2.789390182495117188e+01,4.313313293457031250e+01
2.240000000000000000e+02,3.205934143066406250e+01,2.790763664245605469e+01,4.319904708862304688e+01
2.250000000000000000e+02,3.200123214721679688e+01,2.793057250976562500e+01,4.322776794433593750e+01
2.260000000000000000e+02,3.196524620056152344e+01,2.794154357910156250e+01,4.323432922363281250e+01
2.270000000000000000e+02,3.196410751342773438e+01,2.794141769409179688e+01,4.323633575439453125e+01
2.280000000000000000e+02,3.195490837097167969e+01,2.795103073120117188e+01,4.333963394165039062e+01
2.290000000000000000e+02,3.192181396484375000e+01,2.795533370971679688e+01,4.335081481933593750e+01
2.300000000000000000e+02,3.192044830322265625e+01,2.795520591735839844e+01,4.336470794677734375e+01
2.310000000000000000e+02,3.190063858032226562e+01,2.814421844482421875e+01,4.344070053100585938e+01
2.320000000000000000e+02,3.187379837036132812e+01,2.814981460571289062e+01,4.347980117797851562e+01
2.330000000000000000e+02,3.177281379699707031e+01,2.837184906005859375e+01,4.348719024658203125e+01
2.340000000000000000e+02,3.174249839782714844e+01,2.837818908691406250e+01,4.349380111694335938e+01
2.350000000000000000e+02,3.174279022216796875e+01,2.839454460144042969e+01,4.357408905029296875e+01
2.360000000000000000e+02,3.164674377441406250e+01,2.856053161621093750e+01,4.358028030395507812e+01
2.370000000000000000e+02,3.161948394775390625e+01,2.856591224670410156e+01,4.360623168945312500e+01
2.380000000000000000e+02,3.156922912597656250e+01,2.858158493041992188e+01,4.361496734619140625e+01
2.390000000000000000e+02,3.153123664855957031e+01,2.858795547485351562e+01,4.362002563476562500e+01
2.400000000000000000e+02,3.149070358276367188e+01,2.862564468383789062e+01,4.364008331298828125e+01
2.410000000000000000e+02,3.147174072265625000e+01,2.863272666931152344e+01,4.363972091674804688e+01
2.420000000000000000e+02,3.144737052917480469e+01,2.863968849182128906e+01,4.365993118286132812e+01
2.430000000000000000e+02,3.141590118408203125e+01,2.868065071105957031e+01,4.366000747680664062e+01
2.440000000000000000e+02,3.139574050903320312e+01,2.871431159973144531e+01,4.368465805053710938e+01
2.450000000000000000e+02,3.139396286010742188e+01,2.871458816528320312e+01,4.370474243164062500e+01
2.460000000000000000e+02,3.136240959167480469e+01,2.872049713134765625e+01,4.371008300781250000e+01
2.470000000000000000e+02,3.126487922668457031e+01,2.894525146484375000e+01,4.372492218017578125e+01
2.480000000000000000e+02,3.124056816101074219e+01,2.895141220092773438e+01,4.372418212890625000e+01
2.490000000000000000e+02,3.122052001953125000e+01,2.895627784729003906e+01,4.374303817749023438e+01
2.500000000000000000e+02,3.121932792663574219e+01,2.895612907409667969e+01,4.376935958862304688e+01
2.510000000000000000e+02,3.118696594238281250e+01,2.896345901489257812e+01,4.377887725830078125e+01
2.520000000000000000e+02,3.118451118469238281e+01,2.896372795104980469e+01,4.378030395507812500e+01
2.530000000000000000e+02,3.118272781372070312e+01,2.896365356445312500e+01,4.378495788574218750e+01
2.540000000000000000e+02,3.104928207397460938e+01,2.911858749389648438e+01,4.381326675415039062e+01
2.550000000000000000e+02,3.101237106323242188e+01,2.912501525878906250e+01,4.382616424560546875e+01
2.560000000000000000e+02,3.087787246704101562e+01,2.938032913208007812e+01,4.383965301513671875e+01
2.570000000000000000e+02,3.084219932556152344e+01,2.941658020019531250e+01,4.384481430053710938e+01
2.580000000000000000e+02,3.084397888183593750e+01,2.943122482299804688e+01,4.400764083862304688e+01
2.590000000000000000e+02,3.079668998718261719e+01,2.945354652404785156e+01,4.401262283325195312e+01
2.600000000000000000e+02,3.077938270568847656e+01,2.952192306518554688e+01,4.412176513671875000e+01
2.610000000000000000e+02,3.075534439086914062e+01,2.953030776977539062e+01,4.411949539184570312e+01
2.620000000000000000e+02,3.073118591308593750e+01,2.953633499145507812e+01,4.414033508300781250e+01
2.630000000000000000e+02,3.071088409423828125e+01,2.954628944396972656e+01,4.415010452270507812e+01
2.640000000000000000e+02,3.068362236022949219e+01,2.957275009155273438e+01,4.416656112670898438e+01
2.650000000000000000e+02,3.065469932556152344e+01,2.957961654663085938e+01,4.418133544921875000e+01
2.660000000000000000e+02,3.064699935913085938e+01,2.959336090087890625e+01,4.427392959594726562e+01
2.670000000000000000e+02,3.062636375427246094e+01,2.959861564636230469e+01,4.428603744506835938e+01
2.680000000000000000e+02,3.060294151306152344e+01,2.960446166992187500e+01,4.429896545410156250e+01
2.690000000000000000e+02,3.055364227294921875e+01,2.963601875305175781e+01,4.431989669799804688e+01
2.700000000000000000e+02,3.053717422485351562e+01,2.964481353759765625e+01,4.433179855346679688e+01
2.710000000000000000e+02,3.053313255310058594e+01,2.965822982788085938e+01,4.460901260375976562e+01
2.720000000000000000e+02,3.051859092712402344e+01,2.968486022949218750e+01,4.472707366943359375e+01
2.730000000000000000e+02,3.049825477600097656e+01,2.969041633605957031e+01,4.474376296997070312e+01
2.740000000000000000e+02,3.047657394409179688e+01,2.969595718383789062e+01,4.475777053833007812e+01
2.750000000000000000e+02,3.045447349548339844e+01,2.970140266418457031e+01,4.477638626098632812e+01
2.760000000000000000e+02,3.045350837707519531e+01,2.970127296447753906e+01,4.478833007812500000e+01
2.770000000000000000e+02,3.037558364868164062e+01,2.979997444152832031e+01,4.480831146240234375e+01
2.780000000000000000e+02,3.037481117248535156e+01,2.981286621093750000e+01,4.493886566162109375e+01
2.790000000000000000e+02,3.034032821655273438e+01,2.982734680175781250e+01,4.494109725952148438e+01
2.800000000000000000e+02,3.030179977416992188e+01,2.984669876098632812e+01,4.499351501464843750e+01
2.810000000000000000e+02,3.028096961975097656e+01,2.985250663757324219e+01,4.499622344970703125e+01
2.820000000000000000e+02,3.025598716735839844e+01,3.056702423095703125e+01,4.500256347656250000e+01
2.830000000000000000e+02,3.023318290710449219e+01,3.057401466369628906e+01,4.503013610839843750e+01
2.840000000000000000e+02,3.021352005004882812e+01,3.058118629455566406e+01,4.503811645507812500e+01
2.850000000000000000e+02,3.018867301940917969e+01,3.058833122253417969e+01,4.507238006591796875e+01
2.860000000000000000e+02,3.016178131103515625e+01,3.059600067138671875e+01,4.507141113281250000e+01
2.870000000000000000e+02,3.012200546264648438e+01,3.064126968383789062e+01,4.508632278442382812e+01
2.880000000000000000e+02,2.993914604187011719e+01,3.134736824035644531e+01,4.510644912719726562e+01
2.890000000000000000e+02,2.992876815795898438e+01,3.135981369018554688e+01,4.511694335937500000e+01
2.900000000000000000e+02,2.990062713623046875e+01,3.137453842163085938e+01,4.512893676757812500e+01
2.910000000000000000e+02,2.987956047058105469e+01,3.138347244262695312e+01,4.514861297607421875e+01
2.920000000000000000e+02,2.986894798278808594e+01,3.139737892150878906e+01,4.517063140869140625e+01
2.930000000000000000e+02,2.982349777221679688e+01,3.144328117370605469e+01,4.519174575805664062e+01
2.940000000000000000e+02,2.977700424194335938e+01,3.148217964172363281e+01,4.519916534423828125e+01
2.950000000000000000e+02,2.975424194335937500e+01,3.148874092102050781e+01,4.522052383422851562e+01
2.960000000000000000e+02,2.974223327636718750e+01,3.163594055175781250e+01,4.561793899536132812e+01
2.970000000000000000e+02,2.973773765563964844e+01,3.176040840148925781e+01,4.578300094604492188e+01
2.980000000000000000e+02,2.973099708557128906e+01,3.176871490478515625e+01,4.580638122558593750e+01
2.990000000000000000e+02,2.970390701293945312e+01,3.177758789062500000e+01,4.581897354125976562e+01
3.000000000000000000e+02,2.970307922363281250e+01,3.177749252319335938e+01,4.584388732910156250e+01
3.010000000000000000e+02,2.968229484558105469e+01,3.178744888305664062e+01,4.586346054077148438e+01
3.020000000000000000e+02,2.973695373535156250e+01,3.532613754272460938e+01,4.601991271972656250e+01
3.030000000000000000e+02,2.972133255004882812e+01,3.535351181030273438e+01,4.604054260253906250e+01
3.040000000000000000e+02,2.969112205505371094e+01,3.548002624511718750e+01,4.606029510498046875e+01
3.050000000000000000e+02,2.963584518432617188e+01,3.566140747070312500e+01,4.609183502197265625e+01
3.060000000000000000e+02,2.963094902038574219e+01,3.567275238037109375e+01,4.610842132568359375e+01
3.070000000000000000e+02,2.953709030151367188e+01,3.617955017089843750e+01,4.612829589843750000e+01
3.080000000000000000e+02,2.924761772155761719e+01,3.988446044921875000e+01,4.614738845825195312e+01
3.090000000000000000e+02,2.920705032348632812e+01,4.008311843872070312e+01,4.616239547729492188e+01
3.100000000000000000e+02,2.920285797119140625e+01,4.027906417846679688e+01,4.632301712036132812e+01
3.110000000000000000e+02,2.921760749816894531e+01,4.235768127441406250e+01,4.649515151977539062e+01
3.120000000000000000e+02,2.919823455810546875e+01,4.246788024902343750e+01,4.651631164550781250e+01
3.130000000000000000e+02,2.919739723205566406e+01,4.246723175048828125e+01,4.653692626953125000e+01
3.140000000000000000e+02,2.918539810180664062e+01,4.256042098999023438e+01,4.655959701538085938e+01
3.150000000000000000e+02,2.914313888549804688e+01,4.333073043823242188e+01,4.658061599731445312e+01
