x,a,b,c,d,e
-5.500000119209289551e-01,1.813230323791503906e+01,3.474781990051269531e+00,8.522558212280273438e-01,3.425381183624267578e-01,6.092844605445861816e-01
-5.472431182861328125e-01,1.607084274291992188e+01,3.031869649887084961e+00,7.100749015808105469e-01,3.029667139053344727e-01,5.963395833969116211e-01
-5.444862246513366699e-01,1.412608146667480469e+01,2.611880064010620117e+00,5.746371150016784668e-01,2.652196288108825684e-01,5.837706923484802246e-01
-5.417293310165405273e-01,1.229795932769775391e+01,2.214704275131225586e+00,4.459313154220581055e-01,2.292964309453964233e-01,5.715754628181457520e-01
-5.389724373817443848e-01,1.058638191223144531e+01,1.840220928192138672e+00,3.239463567733764648e-01,1.951952576637268066e-01,5.597492456436157227e-01
-5.362155437469482422e-01,8.991220474243164062e+00,1.488299250602722168e+00,2.086706459522247314e-01,1.629145741462707520e-01,5.482900142669677734e-01
-5.334586501121520996e-01,7.512293815612792969e+00,1.158796072006225586e+00,1.000925600528717041e-01,1.324525177478790283e-01,5.371932983398437500e-01
-5.307017564773559570e-01,6.149343490600585938e+00,8.515554666519165039e-01,-1.800000667572021484e-03,1.038077697157859802e-01,5.264555811882019043e-01
-5.279448628425598145e-01,4.902012348175048828e+00,5.664071440696716309e-01,-9.701898694038391113e-02,7.697759568691253662e-02,5.160731077194213867e-01
-5.251879692077636719e-01,3.769796371459960938e+00,3.031659722328186035e-01,-1.855764389038085938e-01,5.195964500308036804e-02,5.060412883758544922e-01
-5.224310755729675293e-01,2.751991748809814453e+00,6.163114309310913086e-02,-2.674847841262817383e-01,2.875108271837234497e-02,4.963568150997161865e-01
-5.196741819381713867e-01,1.847618937492370605e+00,-1.584156155586242676e-01,-3.427563905715942383e-01,7.350135594606399536e-03,4.870151281356811523e-01
-5.169172883033752441e-01,1.055314064025878906e+00,-3.572100698947906494e-01,-4.114038944244384766e-01,-1.224718615412712097e-02,4.780120253562927246e-01
-5.141603946685791016e-01,3.731951713562011719e-01,-5.350066423416137695e-01,-4.734398722648620605e-01,-3.004436753690242767e-02,4.693428575992584229e-01
-5.114035010337829590e-01,-2.013196349143981934e-01,-6.920783519744873047e-01,-5.288767218589782715e-01,-4.604599252343177795e-02,4.610037505626678467e-01
-5.086466073989868164e-01,-6.717331409454345703e-01,-8.287172317504882812e-01,-5.777276754379272461e-01,-6.025534123182296753e-02,4.529892802238464355e-01
-5.058897137641906738e-01,-1.042728066444396973e+00,-9.452340006828308105e-01,-6.200051903724670410e-01,-7.267832756042480469e-02,4.452942013740539551e-01
-5.031328201293945312e-01,-1.320435762405395508e+00,-1.041956186294555664e+00,-6.557219028472900391e-01,-8.332071453332901001e-02,4.379145205020904541e-01
-5.003759264945983887e-01,-1.512655496597290039e+00,-1.119227647781372070e+00,-6.848905682563781738e-01,-9.218805283308029175e-02,4.308447837829589844e-01
-4.976190626621246338e-01,-1.628923535346984863e+00,-1.177404165267944336e+00,-7.075236439704895020e-01,-9.928762167692184448e-02,4.240795671939849854e-01
-4.948621690273284912e-01,-1.680291056632995605e+00,-1.216853141784667969e+00,-7.236345410346984863e-01,-1.046272441744804382e-01,4.176134169101715088e-01
-4.921052753925323486e-01,-1.678672790527343750e+00,-1.237944722175598145e+00,-7.332351207733154297e-01,-1.082158982753753662e-01,4.114405214786529541e-01
-4.893483817577362061e-01,-1.635769844055175781e+00,-1.241049766540527344e+00,-7.363378405570983887e-01,-1.100636869668960571e-01,4.055562019348144531e-01
-4.865914881229400635e-01,-1.561755418777465820e+00,-1.226531267166137695e+00,-7.329547405242919922e-01,-1.101809665560722351e-01,3.999540805816650391e-01
-4.838345944881439209e-01,-1.464141964912414551e+00,-1.194738507270812988e+00,-7.230982184410095215e-01,-1.085807234048843384e-01,3.946276605129241943e-01
-4.810777008533477783e-01,-1.347207427024841309e+00,-1.145998001098632812e+00,-7.067803144454956055e-01,-1.052765920758247375e-01,3.895715475082397461e-01
-4.783208072185516357e-01,-1.212068080902099609e+00,-1.080606579780578613e+00,-6.840123534202575684e-01,-1.002843677997589111e-01,3.847797214984893799e-01
-4.755639135837554932e-01,-1.057149529457092285e+00,-9.988222122192382812e-01,-6.548058390617370605e-01,-9.362164884805679321e-02,3.802453577518463135e-01
-4.728070199489593506e-01,-8.787419795989990234e-01,-9.008577466011047363e-01,-6.191726922988891602e-01,-8.530778437852859497e-02,3.759620487689971924e-01
-4.700501263141632080e-01,-6.714887619018554688e-01,-7.868753671646118164e-01,-5.771235227584838867e-01,-7.536509633064270020e-02,3.719224035739898682e-01
-4.672932326793670654e-01,-4.288569986820220947e-01,-6.569808721542358398e-01,-5.286701917648315430e-01,-6.381854414939880371e-02,3.681203722953796387e-01
-4.645363390445709229e-01,-1.436901390552520752e-01,-5.112224221229553223e-01,-4.738237261772155762e-01,-5.069491267204284668e-02,3.645494580268859863e-01
-4.617794752120971680e-01,1.911379992961883545e-01,-3.495921194553375244e-01,-4.125969707965850830e-01,-3.602676093578338623e-02,3.612020909786224365e-01
-4.590225815773010254e-01,5.821126103401184082e-01,-1.720196604728698730e-01,-3.450002074241638184e-01,-1.984733901917934418e-02,3.580709695816040039e-01
-4.562656879425048828e-01,1.034636020660400391e+00,2.161259949207305908e-02,-2.710485160350799561e-01,-2.196236979216337204e-03,3.551479578018188477e-01
-4.535087943077087402e-01,1.552984595298767090e+00,2.314711660146713257e-01,-1.907562762498855591e-01,1.688341610133647919e-02,3.524279892444610596e-01
-4.507519006729125977e-01,2.140623331069946289e+00,4.577631056308746338e-01,-1.041431128978729248e-01,3.734263405203819275e-02,3.499012291431427002e-01
-4.479950070381164551e-01,2.800765037536621094e+00,7.007287740707397461e-01,-1.123158726841211319e-02,5.912759155035018921e-02,3.475612401962280273e-01
-4.452381134033203125e-01,3.536918878555297852e+00,9.606342911720275879e-01,8.794810622930526733e-02,8.217811584472656250e-02,3.454000055789947510e-01
-4.424812197685241699e-01,4.353190898895263672e+00,1.237763166427612305e+00,1.933548748493194580e-01,1.064272373914718628e-01,3.434091508388519287e-01
-4.397243261337280273e-01,5.254227638244628906e+00,1.532411098480224609e+00,3.049321472644805908e-01,1.318005919456481934e-01,3.415816426277160645e-01
-4.369674324989318848e-01,6.244840621948242188e+00,1.844876646995544434e+00,4.226000607013702393e-01,1.582161784172058105e-01,3.399084806442260742e-01
-4.342105388641357422e-01,7.329470634460449219e+00,2.175458192825317383e+00,5.462436676025390625e-01,1.855836063623428345e-01,3.383819758892059326e-01
-4.314536452293395996e-01,8.511572837829589844e+00,2.524446487426757812e+00,6.756991744041442871e-01,2.138020992279052734e-01,3.369948565959930420e-01
-4.286967515945434570e-01,9.792903900146484375e+00,2.892116069793701172e+00,8.107272386550903320e-01,2.427634745836257935e-01,3.357369601726531982e-01
-4.259398579597473145e-01,1.117253494262695312e+01,3.278710365295410156e+00,9.509829282760620117e-01,2.723472714424133301e-01,3.346016407012939453e-01
-4.231829643249511719e-01,1.264530372619628906e+01,3.684402227401733398e+00,1.095966458320617676e+00,3.024229109287261963e-01,3.335801064968109131e-01
-4.204260706901550293e-01,1.419920635223388672e+01,4.109180450439453125e+00,1.244958519935607910e+00,3.328505158424377441e-01,3.326636850833892822e-01
-4.176691770553588867e-01,1.580494403839111328e+01,4.552531719207763672e+00,1.396927356719970703e+00,3.634779751300811768e-01,3.318441808223724365e-01
-4.149122834205627441e-01,1.728163528442382812e+01,5.012532234191894531e+00,1.550414919853210449e+00,3.941430449485778809e-01,3.311134278774261475e-01
-4.121553897857666016e-01,1.765140914916992188e+01,5.483311176300048828e+00,1.703389286994934082e+00,4.246727824211120605e-01,3.304630517959594727e-01
-4.093984961509704590e-01,1.685168266296386719e+01,5.948377132415771484e+00,1.853086829185485840e+00,4.548861384391784668e-01,3.298850357532501221e-01
-4.066416025161743164e-01,1.593434715270996094e+01,6.366021156311035156e+00,1.995877742767333984e+00,4.845942556858062744e-01,3.293700218200683594e-01
-4.038847088813781738e-01,1.509927654266357422e+01,6.652855396270751953e+00,2.127229690551757812e+00,5.135990977287292480e-01,3.289104700088500977e-01
-4.011278450489044189e-01,1.435617542266845703e+01,6.712583065032958984e+00,2.241875410079956055e+00,5.417020916938781738e-01,3.284988999366760254e-01
-3.983709514141082764e-01,1.369804763793945312e+01,6.534542560577392578e+00,2.334306240081787109e+00,5.687015652656555176e-01,3.281259238719940186e-01
