x,a,b,c,d
5.276381909547738225e-01,1.029123403131961823e+00,4.941838383674621582e-01,2.081278562545776367e-01,5.820870399475097656e-02
5.326633165829145478e-01,1.037893511354923248e+00,5.019620060920715332e-01,2.142577171325683594e-01,6.203937530517578125e-02
5.376884422110552730e-01,1.046592928469181061e+00,5.096965432167053223e-01,2.203888893127441406e-01,6.593394279479980469e-02
5.427135678391959983e-01,1.055222608149051666e+00,5.173875689506530762e-01,2.265200614929199219e-01,6.988883018493652344e-02
5.477386934673367236e-01,1.063783504068851471e+00,5.250350832939147949e-01,2.326494455337524414e-01,7.390010356903076172e-02
5.527638190954774489e-01,1.072276808321475983e+00,5.326392054557800293e-01,2.387759685516357422e-01,7.796454429626464844e-02
5.577889447236180631e-01,1.080703355371952057e+00,5.402002930641174316e-01,2.448982000350952148e-01,8.207881450653076172e-02
5.628140703517587884e-01,1.089063979685306549e+00,5.477179884910583496e-01,2.510149478912353516e-01,8.623981475830078125e-02
5.678391959798995137e-01,1.097359992563724518e+00,5.551928877830505371e-01,2.571250200271606445e-01,9.044480323791503906e-02
5.728643216080402389e-01,1.105591870844364166e+00,5.626251101493835449e-01,2.632272243499755859e-01,9.469079971313476562e-02
5.778894472361809642e-01,1.113760806620121002e+00,5.700145363807678223e-01,2.693212032318115234e-01,9.897530078887939453e-02
5.829145728643215785e-01,1.121867753565311432e+00,5.773617625236511230e-01,2.754051685333251953e-01,1.032955646514892578e-01
5.879396984924623037e-01,1.129913307726383209e+00,5.846666693687438965e-01,2.814786434173583984e-01,1.076494455337524414e-01
5.929648241206030290e-01,1.137898661196231842e+00,5.919297337532043457e-01,2.875409126281738281e-01,1.120347976684570312e-01
5.979899497487437543e-01,1.145824290812015533e+00,5.991509556770324707e-01,2.935909032821655273e-01,1.164491176605224609e-01
6.030150753768844796e-01,1.153691388666629791e+00,6.063309311866760254e-01,2.996282577514648438e-01,1.208906173706054688e-01
6.080402010050250938e-01,1.161500312387943268e+00,6.134694218635559082e-01,3.056520223617553711e-01,1.253571510314941406e-01
6.130653266331658191e-01,1.169252254068851471e+00,6.205672621726989746e-01,3.116617202758789062e-01,1.298470497131347656e-01
6.180904522613065444e-01,1.176947928965091705e+00,6.276242136955261230e-01,3.176567554473876953e-01,1.343582868576049805e-01
6.231155778894472697e-01,1.184587933123111725e+00,6.346406340599060059e-01,3.236364126205444336e-01,1.388896703720092773e-01
6.281407035175879949e-01,1.192173220217227936e+00,6.416171193122863770e-01,3.296003341674804688e-01,1.434388160705566406e-01
6.331658291457286092e-01,1.199704267084598541e+00,6.485537886619567871e-01,3.355479240417480469e-01,1.480048894882202148e-01
6.381909547738693345e-01,1.207182027399539948e+00,6.554506421089172363e-01,3.414791822433471680e-01,1.525863409042358398e-01
6.432160804020100597e-01,1.214607097208499908e+00,6.623083949089050293e-01,3.473929166793823242e-01,1.571813821792602539e-01
6.482412060301507850e-01,1.221980191767215729e+00,6.691270470619201660e-01,3.532894849777221680e-01,1.617892980575561523e-01
6.532663316582915103e-01,1.229302145540714264e+00,6.759069561958312988e-01,3.591680526733398438e-01,1.664081811904907227e-01
6.582914572864321245e-01,1.236573316156864166e+00,6.826484799385070801e-01,3.650283813476562500e-01,1.710370779037475586e-01
6.633165829145728498e-01,1.243794657289981842e+00,6.893519759178161621e-01,3.708704710006713867e-01,1.756752729415893555e-01
6.683417085427135751e-01,1.250966764986515045e+00,6.960174441337585449e-01,3.766937255859375000e-01,1.803210973739624023e-01
6.733668341708543004e-01,1.258090116083621979e+00,7.026455998420715332e-01,3.824979066848754883e-01,1.849739551544189453e-01
6.783919597989950256e-01,1.265165425837039948e+00,7.092364430427551270e-01,3.882828950881958008e-01,1.896325349807739258e-01
6.834170854271356399e-01,1.272193171083927155e+00,7.157904505729675293e-01,3.940484523773193359e-01,1.942961215972900391e-01
6.884422110552763652e-01,1.279174186289310455e+00,7.223076224327087402e-01,3.997943401336669922e-01,1.989635229110717773e-01
6.934673366834170904e-01,1.286109186708927155e+00,7.287887930870056152e-01,4.055202007293701172e-01,2.036342620849609375e-01
6.984924623115578157e-01,1.292998172342777252e+00,7.352334856986999512e-01,4.112262725830078125e-01,2.083072662353515625e-01
7.035175879396985410e-01,1.299842216074466705e+00,7.416427731513977051e-01,4.169121980667114258e-01,2.129819393157958984e-01
7.085427135678391553e-01,1.306641675531864166e+00,7.480166554450988770e-01,4.225777387619018555e-01,2.176574468612670898e-01
7.135678391959798805e-01,1.313397265970706940e+00,7.543552517890930176e-01,4.282230138778686523e-01,2.223330736160278320e-01
7.185929648241206058e-01,1.320109464228153229e+00,7.606590390205383301e-01,4.338475465774536133e-01,2.270079851150512695e-01
7.236180904522613311e-01,1.326778627932071686e+00,7.669284939765930176e-01,4.394515752792358398e-01,2.316819429397583008e-01
7.286432160804020564e-01,1.333405353128910065e+00,7.731634974479675293e-01,4.450348615646362305e-01,2.363539934158325195e-01
7.336683417085426706e-01,1.339990355074405670e+00,7.793645262718200684e-01,4.505974054336547852e-01,2.410237789154052734e-01
7.386934673366833959e-01,1.346533991396427155e+00,7.855321764945983887e-01,4.561392068862915039e-01,2.456905841827392578e-01
7.437185929648241212e-01,1.353036500513553619e+00,7.916660904884338379e-01,4.616599082946777344e-01,2.503540515899658203e-01
7.487437185929648464e-01,1.359498836100101471e+00,7.977669835090637207e-01,4.671598672866821289e-01,2.550137042999267578e-01
7.537688442211055717e-01,1.365921355783939362e+00,8.038353323936462402e-01,4.726390838623046875e-01,2.596685886383056641e-01
7.587939698492462970e-01,1.372304178774356842e+00,8.098711371421813965e-01,4.780970811843872070e-01,2.643188238143920898e-01
7.638190954773869112e-01,1.378648258745670319e+00,8.158747553825378418e-01,4.835342168807983398e-01,2.689639329910278320e-01
7.688442211055276365e-01,1.384953595697879791e+00,8.218463063240051270e-01,4.889502525329589844e-01,2.736030817031860352e-01
7.738693467336683618e-01,1.391221143305301666e+00,8.277861475944519043e-01,4.943454265594482422e-01,2.782363891601562500e-01
7.788944723618090871e-01,1.397450663149356842e+00,8.336947560310363770e-01,4.997195005416870117e-01,2.828630208969116211e-01
7.839195979899498123e-01,1.403643347322940826e+00,8.395721316337585449e-01,5.050724744796752930e-01,2.874827384948730469e-01
7.889447236180904266e-01,1.409799076616764069e+00,8.454186320304870605e-01,5.104047060012817383e-01,2.920957803726196289e-01
7.939698492462311519e-01,1.415918447077274323e+00,8.512347340583801270e-01,5.157158374786376953e-01,2.967008352279663086e-01
7.989949748743718771e-01,1.422002054750919342e+00,8.570205569267272949e-01,5.210062265396118164e-01,3.012981414794921875e-01
8.040201005025126024e-01,1.428049899637699127e+00,8.627762198448181152e-01,5.262757539749145508e-01,3.058876991271972656e-01
8.090452261306533277e-01,1.434062816202640533e+00,8.685021996498107910e-01,5.315243005752563477e-01,3.104689121246337891e-01
8.140703517587939420e-01,1.440040804445743561e+00,8.741986155509948730e-01,5.367523431777954102e-01,3.150413036346435547e-01
8.190954773869346672e-01,1.445984460413455963e+00,8.798658251762390137e-01,5.419594049453735352e-01,3.196051120758056641e-01
8.241206030150753925e-01,1.451894141733646393e+00,8.855039477348327637e-01,5.471457242965698242e-01,3.241595029830932617e-01
8.291457286432161178e-01,1.457770325243473053e+00,8.911136984825134277e-01,5.523115396499633789e-01,3.287050724029541016e-01
8.341708542713568431e-01,1.463613249361515045e+00,8.966943621635437012e-01,5.574567317962646484e-01,3.332407474517822266e-01
8.391959798994974573e-01,1.469422914087772369e+00,9.022471308708190918e-01,5.625814199447631836e-01,3.377670049667358398e-01
8.442211055276381826e-01,1.475200630724430084e+00,9.077720046043395996e-01,5.676859617233276367e-01,3.422830104827880859e-01
8.492462311557789079e-01,1.480945684015750885e+00,9.132689833641052246e-01,5.727697610855102539e-01,3.467892408370971680e-01
8.542713567839196331e-01,1.486659266054630280e+00,9.187386631965637207e-01,5.778334140777587891e-01,3.512852191925048828e-01
8.592964824120603584e-01,1.492341257631778717e+00,9.241806864738464355e-01,5.828766822814941406e-01,3.557707071304321289e-01
8.643216080402009727e-01,1.497991897165775299e+00,9.295961260795593262e-01,5.879001617431640625e-01,3.602458238601684570e-01
8.693467336683416979e-01,1.503612019121646881e+00,9.349843859672546387e-01,5.929032564163208008e-01,3.647099733352661133e-01
8.743718592964824232e-01,1.509201385080814362e+00,9.403464198112487793e-01,5.978864431381225586e-01,3.691633939743041992e-01
8.793969849246231485e-01,1.514760829508304596e+00,9.456819891929626465e-01,6.028498411178588867e-01,3.736060857772827148e-01
8.844221105527638738e-01,1.520290113985538483e+00,9.509912133216857910e-01,6.077933311462402344e-01,3.780374526977539062e-01
8.894472361809044880e-01,1.525790192186832428e+00,9.562751650810241699e-01,6.127170324325561523e-01,3.824577331542968750e-01
8.944723618090452133e-01,1.531260825693607330e+00,9.615328907966613770e-01,6.176211833953857422e-01,3.868669271469116211e-01
8.994974874371859386e-01,1.536702610552310944e+00,9.667657017707824707e-01,6.225055456161499023e-01,3.912646770477294922e-01
9.045226130653266639e-01,1.542115546762943268e+00,9.719730019569396973e-01,6.273704767227172852e-01,3.956511020660400391e-01
9.095477386934673891e-01,1.547500111162662506e+00,9.771553874015808105e-01,6.322162151336669922e-01,4.000256061553955078e-01
9.145728643216080034e-01,1.552856899797916412e+00,9.823128581047058105e-01,6.370426416397094727e-01,4.043889045715332031e-01
9.195979899497487287e-01,1.558185435831546783e+00,9.874458909034729004e-01,6.418498754501342773e-01,4.087402820587158203e-01
9.246231155778894539e-01,1.563486792147159576e+00,9.925546050071716309e-01,6.466380357742309570e-01,4.130799770355224609e-01
9.296482412060301792e-01,1.568760849535465240e+00,9.976390004158020020e-01,6.514071226119995117e-01,4.174078702926635742e-01
9.346733668341709045e-01,1.574007965624332428e+00,1.002699792385101318e+00,6.561572551727294922e-01,4.217239618301391602e-01
9.396984924623115187e-01,1.579228259623050690e+00,1.007736504077911377e+00,6.608886718750000000e-01,4.260280132293701172e-01
9.447236180904522440e-01,1.584422446787357330e+00,1.012749731540679932e+00,6.656012535095214844e-01,4.303201436996459961e-01
9.497487437185929693e-01,1.589590288698673248e+00,1.017739832401275635e+00,6.702954769134521484e-01,4.346002340316772461e-01
9.547738693467336946e-01,1.594732023775577545e+00,1.022706568241119385e+00,6.749711036682128906e-01,4.388681650161743164e-01
9.597989949748744198e-01,1.599848367273807526e+00,1.027650415897369385e+00,6.796281337738037109e-01,4.431244134902954102e-01
9.648241206030150341e-01,1.604939199984073639e+00,1.032571732997894287e+00,6.842669248580932617e-01,4.473681449890136719e-01
9.698492462311557594e-01,1.610004641115665436e+00,1.037470400333404541e+00,6.888875961303710938e-01,4.515999555587768555e-01
9.748743718592964846e-01,1.615045525133609772e+00,1.042346537113189697e+00,6.934899091720581055e-01,4.558194875717163086e-01
9.798994974874372099e-01,1.620061494410037994e+00,1.047200620174407959e+00,6.980745792388916016e-01,4.600268602371215820e-01
9.849246231155779352e-01,1.625053025782108307e+00,1.052032649517059326e+00,7.026410102844238281e-01,4.642220735549926758e-01
9.899497487437186605e-01,1.630020238459110260e+00,1.056842863559722900e+00,7.071897983551025391e-01,4.684050083160400391e-01
9.949748743718592747e-01,1.634963609278202057e+00,1.061631262302398682e+00,7.117209434509277344e-01,4.725759029388427734e-01
1.000000000000000000e+00,1.639883257448673248e+00,1.066398441791534424e+00,7.162344455718994141e-01,4.767343997955322266e-01
