x,a,b,c,d,e
-1.492959976196289062e+00,-3.367295742034912109e+00,-3.496507644653320312e+00,-3.988984107971191406e+00,-6.163314819335937500e+00,-1.043740463256835938e+01
-1.468879938125610352e+00,-3.526360511779785156e+00,-3.526360511779785156e+00,-3.761200189590454102e+00,-6.248043060302734375e+00,-1.050638198852539062e+01
-1.444800019264221191e+00,-3.891820430755615234e+00,-3.496507644653320312e+00,-4.007333278656005859e+00,-6.548219203948974609e+00,-1.057513046264648438e+01
-1.420719981193542480e+00,-3.583518981933593750e+00,-3.828641414642333984e+00,-4.094344615936279297e+00,-6.690842151641845703e+00,-1.063212299346923828e+01
-1.396640062332153320e+00,-3.610918045043945312e+00,-3.871201038360595703e+00,-4.356709003448486328e+00,-6.881411552429199219e+00,-1.069144439697265625e+01
-1.372560024261474609e+00,-4.043051242828369141e+00,-3.970291852951049805e+00,-4.553876876831054688e+00,-7.080867767333984375e+00,-1.074725055694580078e+01
-1.348479986190795898e+00,-3.713572025299072266e+00,-4.110873699188232422e+00,-4.634728908538818359e+00,-7.268919944763183594e+00,-1.081651306152343750e+01
-1.324399948120117188e+00,-4.204692840576171875e+00,-4.158883094787597656e+00,-4.770684719085693359e+00,-7.410346984863281250e+00,-1.086936855316162109e+01
-1.300320029258728027e+00,-4.189654827117919922e+00,-4.564348220825195312e+00,-4.962844848632812500e+00,-7.607381343841552734e+00,-1.092282199859619141e+01
-1.276239991188049316e+00,-4.465908050537109375e+00,-4.584967613220214844e+00,-4.927253723144531250e+00,-7.776535034179687500e+00,-1.098410606384277344e+01
-1.252159953117370605e+00,-4.510859489440917969e+00,-4.653960227966308594e+00,-4.990432739257812500e+00,-7.961021423339843750e+00,-1.103564739227294922e+01
-1.228080034255981445e+00,-4.510859489440917969e+00,-4.844187259674072266e+00,-5.252273559570312500e+00,-8.107117652893066406e+00,-1.109251976013183594e+01
