x,a,b,c,d,e
-5.009600000000000719e-01,inf,inf,inf,inf,inf
-4.928799999999999848e-01,inf,inf,inf,inf,inf
-4.848000000000000087e-01,inf,inf,inf,inf,inf
-4.767200000000000326e-01,inf,inf,inf,inf,inf
-4.686400000000000010e-01,inf,inf,inf,inf,inf
-4.605599999999999694e-01,inf,inf,inf,inf,inf
-4.524799999999999933e-01,inf,inf,inf,inf,inf
-4.444000000000000172e-01,inf,inf,inf,inf,inf
-4.363199999999999856e-01,inf,inf,inf,inf,inf
-4.282400000000000095e-01,inf,inf,inf,inf,inf
-4.201599999999999779e-01,inf,inf,inf,inf,inf
-4.120800000000000018e-01,inf,inf,inf,inf,-0.000000000000000000e+00
-4.040000000000000258e-01,inf,inf,inf,inf,-0.000000000000000000e+00
-3.959199999999999942e-01,inf,inf,inf,inf,inf
-3.878399999999999626e-01,inf,inf,inf,inf,inf
-3.797599999999999865e-01,inf,inf,inf,inf,-6.931471805599452862e-01
-3.716800000000000104e-01,inf,inf,inf,inf,-1.609437912434100282e+00
-3.636000000000000343e-01,inf,inf,inf,inf,-1.098612288668109782e+00
-3.555200000000000027e-01,inf,inf,inf,inf,-2.397895272798370669e+00
-3.474399999999999711e-01,inf,inf,inf,-6.931471805599452862e-01,-2.397895272798370669e+00
-3.393599999999999950e-01,inf,inf,inf,-6.931471805599452862e-01,-2.484906649788000355e+00
-3.312800000000000189e-01,inf,inf,inf,-0.000000000000000000e+00,-3.178053830347945752e+00
-3.231999999999999873e-01,inf,-0.000000000000000000e+00,-1.386294361119890572e+00,-2.708050201102210064e+00,-3.295836866004329124e+00
-3.151200000000000112e-01,-1.945910149055313232e+00,-1.609437912434100282e+00,-1.386294361119890572e+00,-2.639057329615258407e+00,-4.110873864173311354e+00
-3.070399999999999796e-01,-1.386294361119890572e+00,-2.197224577336219564e+00,-2.079441541679835748e+00,-2.995732273553990854e+00,-4.276666119016055312e+00
-2.989600000000000035e-01,-2.708050201102210064e+00,-2.302585092994045901e+00,-3.044522437723423014e+00,-3.496507561466480229e+00,-4.653960350157523074e+00
-2.908800000000000274e-01,-3.332204510175203804e+00,-3.496507561466480229e+00,-3.258096538021482136e+00,-3.806662489770319624e+00,-4.812184355372417066e+00
-2.827999999999999958e-01,-3.761200115693562385e+00,-3.891820298110626464e+00,-3.951243718581427533e+00,-4.442651256490316669e+00,-5.323009979138408454e+00
-2.747199999999999642e-01,-4.290459441148390951e+00,-4.262679877041315457e+00,-4.343805421853684123e+00,-4.779123493111529619e+00,-5.680172609017067664e+00
-2.666399999999999881e-01,-4.859812404361671945e+00,-4.852030263919616893e+00,-4.859812404361671945e+00,-5.068904202220231525e+00,-5.968707559985365840e+00
