x,a,b,c,d,e
-5.500000119209289551e-01,-7.689212036132812500e+02,-1.648727722167968750e+02,-5.295309829711914062e+01,-1.479248619079589844e+01,-4.746241092681884766e+00
-5.472431182861328125e-01,-7.265805664062500000e+02,-1.565445404052734375e+02,-5.051366806030273438e+01,-1.413133239746093750e+01,-4.608005523681640625e+00
-5.444862246513366699e-01,-6.842598266601562500e+02,-1.482554473876953125e+02,-4.807871246337890625e+01,-1.347058582305908203e+01,-4.470924377441406250e+00
-5.417293310165405273e-01,-6.419674682617187500e+02,-1.400089721679687500e+02,-4.564833068847656250e+01,-1.281027793884277344e+01,-4.335045814514160156e+00
-5.389724373817443848e-01,-5.997148437500000000e+02,-1.318092193603515625e+02,-4.322260284423828125e+01,-1.215044593811035156e+01,-4.200404167175292969e+00
-5.362155437469482422e-01,-5.575180053710937500e+02,-1.236605148315429688e+02,-4.080163574218750000e+01,-1.149115085601806641e+01,-4.067039012908935547e+00
-5.334586501121520996e-01,-5.153994140625000000e+02,-1.155676193237304688e+02,-3.838549804687500000e+01,-1.083242416381835938e+01,-3.934995889663696289e+00
-5.307017564773559570e-01,-4.733908691406250000e+02,-1.075356750488281250e+02,-3.597428131103515625e+01,-1.017434120178222656e+01,-3.804308414459228516e+00
-5.279448628425598145e-01,-4.315366821289062500e+02,-9.957035064697265625e+01,-3.356806564331054688e+01,-9.516973495483398438e+00,-3.675024747848510742e+00
-5.251879692077636719e-01,-3.898984375000000000e+02,-9.167765045166015625e+01,-3.116691398620605469e+01,-8.860374450683593750e+00,-3.547191143035888672e+00
-5.224310755729675293e-01,-3.485618591308593750e+02,-8.386407470703125000e+01,-2.877090072631835938e+01,-8.204645156860351562e+00,-3.420850992202758789e+00
-5.196741819381713867e-01,-3.076452941894531250e+02,-7.613654327392578125e+01,-2.638008117675781250e+01,-7.549881935119628906e+00,-3.296044349670410156e+00
-5.169172883033752441e-01,-2.673109130859375000e+02,-6.850229644775390625e+01,-2.399452209472656250e+01,-6.896185874938964844e+00,-3.172826290130615234e+00
-5.141603946685791016e-01,-2.277786407470703125e+02,-6.096897125244140625e+01,-2.161425018310546875e+01,-6.243682861328125000e+00,-3.051243543624877930e+00
-5.114035010337829590e-01,-1.893417510986328125e+02,-5.354436111450195312e+01,-1.923931884765625000e+01,-5.592507362365722656e+00,-2.931341409683227539e+00
-5.086466073989868164e-01,-1.523824157714843750e+02,-4.623635101318359375e+01,-1.686976051330566406e+01,-4.942818641662597656e+00,-2.813170194625854492e+00
-5.058897137641906738e-01,-1.173821868896484375e+02,-3.905266952514648438e+01,-1.450558567047119141e+01,-4.294787406921386719e+00,-2.696779251098632812e+00
-5.031328201293945312e-01,-8.491769409179687500e+01,-3.200069808959960938e+01,-1.214681720733642578e+01,-3.648612737655639648e+00,-2.582221269607543945e+00
-5.003759264945983887e-01,-5.562755966186523438e+01,-2.508719062805175781e+01,-9.793451309204101562e+00,-3.004516363143920898e+00,-2.469548225402832031e+00
-4.976190626621246338e-01,-3.013383293151855469e+01,-1.831790733337402344e+01,-7.445504665374755859e+00,-2.362754344940185547e+00,-2.358809471130371094e+00
-4.948621690273284912e-01,-8.907978057861328125e+00,-1.169700908660888672e+01,-5.102904796600341797e+00,-1.723598718643188477e+00,-2.250059843063354492e+00
-4.921052753925323486e-01,7.894297599792480469e+00,-5.227015018463134766e+00,-2.765645027160644531e+00,-1.087372779846191406e+00,-2.143352031707763672e+00
-4.893483817577362061e-01,2.056992721557617188e+01,1.091908216476440430e+00,-4.336819052696228027e-01,-4.544371366500854492e-01,-2.038736343383789062e+00
-4.865914881229400635e-01,2.988253211975097656e+01,7.262320995330810547e+00,1.893042087554931641e+00,1.748040765523910522e-01,-1.936269879341125488e+00
-4.838345944881439209e-01,3.691134643554687500e+01,1.328985118865966797e+01,4.214590072631835938e+00,7.998937368392944336e-01,-1.836004972457885742e+00
-4.810777008533477783e-01,4.280182266235351562e+01,1.918346023559570312e+01,6.531039714813232422e+00,1.420318961143493652e+00,-1.737995028495788574e+00
-4.783208072185516357e-01,4.855623626708984375e+01,2.495555114746093750e+01,8.842474937438964844e+00,2.035499811172485352e+00,-1.642295718193054199e+00
-4.755639135837554932e-01,5.495244979858398438e+01,3.062188720703125000e+01,1.114898014068603516e+01,2.644786596298217773e+00,-1.548958539962768555e+00
-4.728070199489593506e-01,6.256753921508789062e+01,3.620129394531250000e+01,1.345064640045166016e+01,3.247447967529296875e+00,-1.458037734031677246e+00
-4.700501263141632080e-01,7.182917785644531250e+01,4.171514892578125000e+01,1.574755096435546875e+01,3.842662334442138672e+00,-1.369584560394287109e+00
-4.672932326793670654e-01,8.304529571533203125e+01,4.718673706054687500e+01,1.803976821899414062e+01,4.429502010345458984e+00,-1.283652663230895996e+00
-4.645363390445709229e-01,9.641477966308593750e+01,5.264033508300781250e+01,2.032729911804199219e+01,5.006939411163330078e+00,-1.200292825698852539e+00
-4.617794752120971680e-01,1.120488891601562500e+02,5.810032653808593750e+01,2.261011695861816406e+01,5.573806285858154297e+00,-1.119555711746215820e+00
-4.590225815773010254e-01,1.300201416015625000e+02,6.359051132202148438e+01,2.488813591003417969e+01,6.128819942474365234e+00,-1.041488528251647949e+00
-4.562656879425048828e-01,1.504150238037109375e+02,6.913288116455078125e+01,2.716108131408691406e+01,6.670530319213867188e+00,-9.661405086517333984e-01
-4.535087943077087402e-01,1.733522644042968750e+02,7.474723052978515625e+01,2.942847251892089844e+01,7.197329521179199219e+00,-8.935581445693969727e-01
-4.507519006729125977e-01,1.989443054199218750e+02,8.045059204101562500e+01,3.168951797485351562e+01,7.707424640655517578e+00,-8.237853050231933594e-01
-4.479950070381164551e-01,2.272277374267578125e+02,8.625691986083984375e+01,3.394291305541992188e+01,8.198837280273437500e+00,-7.568647265434265137e-01
-4.452381134033203125e-01,2.581120300292968750e+02,9.217704010009765625e+01,3.618672180175781250e+01,8.669380187988281250e+00,-6.928365230560302734e-01
