x,a,b,c,d,e
-1.649999976158142090e+00,-2.498600097656250000e+03,-2.785441589355468750e+02,-7.599603271484375000e+01,-1.971662902832031250e+01,-7.876775264739990234e+00
-1.641729354858398438e+00,-2.466807617187500000e+03,-2.749999389648437500e+02,-7.502957153320312500e+01,-1.947801971435546875e+01,-7.871002197265625000e+00
-1.633458614349365234e+00,-2.435015136718750000e+03,-2.714556884765625000e+02,-7.406310272216796875e+01,-1.923974418640136719e+01,-7.865701198577880859e+00
-1.625187993049621582e+00,-2.403222656250000000e+03,-2.679114990234375000e+02,-7.309671020507812500e+01,-1.900181198120117188e+01,-7.860852718353271484e+00
-1.616917252540588379e+00,-2.371429931640625000e+03,-2.643672485351562500e+02,-7.213034820556640625e+01,-1.876426696777343750e+01,-7.856408596038818359e+00
-1.608646631240844727e+00,-2.339637695312500000e+03,-2.608230285644531250e+02,-7.116400146484375000e+01,-1.852709770202636719e+01,-7.852345943450927734e+00
-1.600375890731811523e+00,-2.307844970703125000e+03,-2.572788085937500000e+02,-7.019771575927734375e+01,-1.829032325744628906e+01,-7.848627090454101562e+00
-1.592105269432067871e+00,-2.276052978515625000e+03,-2.537345733642578125e+02,-6.923148345947265625e+01,-1.805398178100585938e+01,-7.845211982727050781e+00
-1.583834528923034668e+00,-2.244260009765625000e+03,-2.501903228759765625e+02,-6.826527404785156250e+01,-1.781807899475097656e+01,-7.842068195343017578e+00
-1.575563907623291016e+00,-2.212467773437500000e+03,-2.466461181640625000e+02,-6.729915618896484375e+01,-1.758262825012207031e+01,-7.839152812957763672e+00
-1.567293167114257812e+00,-2.180675048828125000e+03,-2.431018676757812500e+02,-6.633305358886718750e+01,-1.734766387939453125e+01,-7.836427211761474609e+00
-1.559022545814514160e+00,-2.148882812500000000e+03,-2.395576629638671875e+02,-6.536704254150390625e+01,-1.711320877075195312e+01,-7.833855628967285156e+00
