x,a,b,c,d,e
-1.649999976158142090e+00,-2.498600341796875000e+03,-5.247801513671875000e+02,-1.557255706787109375e+02,-4.086938095092773438e+01,-1.089266395568847656e+01
-1.641729354858398438e+00,-2.466807861328125000e+03,-5.181028442382812500e+02,-1.537441101074218750e+02,-4.035115432739257812e+01,-1.077691650390625000e+01
-1.633458614349365234e+00,-2.435015136718750000e+03,-5.114254455566406250e+02,-1.517626953125000000e+02,-3.983300018310546875e+01,-1.066172981262207031e+01
-1.625187993049621582e+00,-2.403222900390625000e+03,-5.047481689453125000e+02,-1.497812500000000000e+02,-3.931494522094726562e+01,-1.054711055755615234e+01
-1.616917252540588379e+00,-2.371430175781250000e+03,-4.980707092285156250e+02,-1.477997741699218750e+02,-3.879696273803710938e+01,-1.043309211730957031e+01
-1.608646631240844727e+00,-2.339637939453125000e+03,-4.913933715820312500e+02,-1.458183593750000000e+02,-3.827908325195312500e+01,-1.031970214843750000e+01
-1.600375890731811523e+00,-2.307845214843750000e+03,-4.847160034179687500e+02,-1.438368835449218750e+02,-3.776129150390625000e+01,-1.020696640014648438e+01
-1.592105269432067871e+00,-2.276052734375000000e+03,-4.780386657714843750e+02,-1.418554840087890625e+02,-3.724360275268554688e+01,-1.009490776062011719e+01
-1.583834528923034668e+00,-2.244260009765625000e+03,-4.713611755371093750e+02,-1.398740081787109375e+02,-3.672604370117187500e+01,-9.983546257019042969e+00
-1.575563907623291016e+00,-2.212468017578125000e+03,-4.646838378906250000e+02,-1.378925781250000000e+02,-3.620860671997070312e+01,-9.872922897338867188e+00
-1.567293167114257812e+00,-2.180675048828125000e+03,-4.580064697265625000e+02,-1.359111633300781250e+02,-3.569128799438476562e+01,-9.763069152832031250e+00
-1.559022545814514160e+00,-2.148883056640625000e+03,-4.513291625976562500e+02,-1.339297027587890625e+02,-3.517409896850585938e+01,-9.654015541076660156e+00
-1.550751805305480957e+00,-2.117090332031250000e+03,-4.446517333984375000e+02,-1.319482727050781250e+02,-3.465706253051757812e+01,-9.545797348022460938e+00
-1.542481184005737305e+00,-2.085297851562500000e+03,-4.379744567871093750e+02,-1.299668426513671875e+02,-3.414018630981445312e+01,-9.438451766967773438e+00
-1.534210562705993652e+00,-2.053505615234375000e+03,-4.312970886230468750e+02,-1.279854507446289062e+02,-3.362347412109375000e+01,-9.332004547119140625e+00
-1.525939822196960449e+00,-2.021712890625000000e+03,-4.246197204589843750e+02,-1.260040054321289062e+02,-3.310691452026367188e+01,-9.226496696472167969e+00
-1.517669200897216797e+00,-1.989920532226562500e+03,-4.179423522949218750e+02,-1.240226135253906250e+02,-3.259056472778320312e+01,-9.121976852416992188e+00
-1.509398460388183594e+00,-1.958127929687500000e+03,-4.112649230957031250e+02,-1.220411682128906250e+02,-3.207440185546875000e+01,-9.018492698669433594e+00
-1.501127839088439941e+00,-1.926335571289062500e+03,-4.045876464843750000e+02,-1.200597915649414062e+02,-3.155846214294433594e+01,-8.916072845458984375e+00
-1.492857098579406738e+00,-1.894542846679687500e+03,-3.979102783203125000e+02,-1.180783691406250000e+02,-3.104272842407226562e+01,-8.814768791198730469e+00
-1.484586477279663086e+00,-1.862750488281250000e+03,-3.912329101562500000e+02,-1.160969848632812500e+02,-3.052723312377929688e+01,-8.714638710021972656e+00
-1.476315736770629883e+00,-1.830957885742187500e+03,-3.845555114746093750e+02,-1.141155700683593750e+02,-3.001200485229492188e+01,-8.615721702575683594e+00
-1.468045115470886230e+00,-1.799165649414062500e+03,-3.778781433105468750e+02,-1.121342086791992188e+02,-2.949705505371093750e+01,-8.518074035644531250e+00
-1.459774374961853027e+00,-1.767372802734375000e+03,-3.712007446289062500e+02,-1.101528167724609375e+02,-2.898239135742187500e+01,-8.421751022338867188e+00
-1.451503753662109375e+00,-1.735580688476562500e+03,-3.645234680175781250e+02,-1.081714324951171875e+02,-2.846804428100585938e+01,-8.326815605163574219e+00
-1.443233013153076172e+00,-1.703787963867187500e+03,-3.578460083007812500e+02,-1.061900558471679688e+02,-2.795403861999511719e+01,-8.233316421508789062e+00
-1.434962391853332520e+00,-1.671995605468750000e+03,-3.511686706542968750e+02,-1.042087173461914062e+02,-2.744039726257324219e+01,-8.141325950622558594e+00
-1.426691770553588867e+00,-1.640203369140625000e+03,-3.444913635253906250e+02,-1.022273712158203125e+02,-2.692713356018066406e+01,-8.050906181335449219e+00
-1.418421030044555664e+00,-1.608410644531250000e+03,-3.378139953613281250e+02,-1.002460479736328125e+02,-2.641429138183593750e+01,-7.962126255035400391e+00
-1.410150408744812012e+00,-1.576618408203125000e+03,-3.311366882324218750e+02,-9.826472473144531250e+01,-2.590188217163085938e+01,-7.875053405761718750e+00
-1.401879668235778809e+00,-1.544825561523437500e+03,-3.244592895507812500e+02,-9.628340148925781250e+01,-2.538993644714355469e+01,-7.789762020111083984e+00
-1.393609046936035156e+00,-1.513033325195312500e+03,-3.177818908691406250e+02,-9.430212402343750000e+01,-2.487852096557617188e+01,-7.706336975097656250e+00
