x,a,b,c,d,e
-1.649999976158142090e+00,-2.138137817382812500e+00,-2.063809156417846680e+00,-2.419929265975952148e+00,-7.234637141227722168e-01,-1.868820935487747192e-01
-1.641729354858398438e+00,-2.134043693542480469e+00,-2.064491033554077148e+00,-2.412695646286010742e+00,-7.198773026466369629e-01,-1.859456300735473633e-01
-1.633458614349365234e+00,-2.129923343658447266e+00,-2.065420627593994141e+00,-2.405362606048583984e+00,-7.162901163101196289e-01,-1.850091516971588135e-01
-1.625187993049621582e+00,-2.125776290893554688e+00,-2.066610097885131836e+00,-2.397930622100830078e+00,-7.127023339271545410e-01,-1.840726882219314575e-01
-1.616917252540588379e+00,-2.121602296829223633e+00,-2.068072319030761719e+00,-2.390400409698486328e+00,-7.091140151023864746e-01,-1.831362247467041016e-01
-1.608646631240844727e+00,-2.117401838302612305e+00,-2.069820404052734375e+00,-2.382773637771606445e+00,-7.055250406265258789e-01,-1.821997314691543579e-01
-1.600375890731811523e+00,-2.113174915313720703e+00,-2.071867942810058594e+00,-2.375050544738769531e+00,-7.019351720809936523e-01,-1.812632381916046143e-01
-1.592105269432067871e+00,-2.108921766281127930e+00,-2.074228286743164062e+00,-2.367232322692871094e+00,-6.983449459075927734e-01,-1.803267449140548706e-01
-1.583834528923034668e+00,-2.104642391204833984e+00,-2.076916217803955078e+00,-2.359320163726806641e+00,-6.947538256645202637e-01,-1.793902516365051270e-01
-1.575563907623291016e+00,-2.100337028503417969e+00,-2.079946756362915039e+00,-2.351315259933471680e+00,-6.911624670028686523e-01,-1.784537583589553833e-01
-1.567293167114257812e+00,-2.096005439758300781e+00,-2.083334922790527344e+00,-2.343218326568603516e+00,-6.875701546669006348e-01,-1.775172352790832520e-01
-1.559022545814514160e+00,-2.091648817062377930e+00,-2.087095737457275391e+00,-2.335030555725097656e+00,-6.839773654937744141e-01,-1.765807569026947021e-01
-1.550751805305480957e+00,-2.087265729904174805e+00,-2.091245174407958984e+00,-2.326752185821533203e+00,-6.803839802742004395e-01,-1.756442189216613770e-01
-1.542481184005737305e+00,-2.082858085632324219e+00,-2.095800161361694336e+00,-2.318385601043701172e+00,-6.767899394035339355e-01,-1.747076958417892456e-01
-1.534210562705993652e+00,-2.078424692153930664e+00,-2.100776195526123047e+00,-2.309930801391601562e+00,-6.731953024864196777e-01,-1.737711876630783081e-01
-1.525939822196960449e+00,-2.073966503143310547e+00,-2.106190443038940430e+00,-2.301388978958129883e+00,-6.696001887321472168e-01,-1.728346794843673706e-01
-1.517669200897216797e+00,-2.069483757019042969e+00,-2.112059354782104492e+00,-2.292761325836181641e+00,-6.660043597221374512e-01,-1.718981415033340454e-01
-1.509398460388183594e+00,-2.064976453781127930e+00,-2.118400812149047852e+00,-2.284048795700073242e+00,-6.624079942703247070e-01,-1.709616035223007202e-01
-1.501127839088439941e+00,-2.060445070266723633e+00,-2.125232696533203125e+00,-2.275252342224121094e+00,-6.588110327720642090e-01,-1.700250655412673950e-01
-1.492857098579406738e+00,-2.055889606475830078e+00,-2.132570505142211914e+00,-2.266373157501220703e+00,-6.552134752273559570e-01,-1.690885275602340698e-01
-1.484586477279663086e+00,-2.051310777664184570e+00,-2.140434026718139648e+00,-2.257411718368530273e+00,-6.516152620315551758e-01,-1.681519746780395508e-01
-1.476315736770629883e+00,-2.046709060668945312e+00,-2.148839473724365234e+00,-2.248369455337524414e+00,-6.480165123939514160e-01,-1.672154515981674194e-01
-1.468045115470886230e+00,-2.042083978652954102e+00,-2.157804965972900391e+00,-2.239247560501098633e+00,-6.444173455238342285e-01,-1.662788838148117065e-01
-1.459774374961853027e+00,-2.037436962127685547e+00,-2.167347669601440430e+00,-2.230046510696411133e+00,-6.408175230026245117e-01,-1.653423160314559937e-01
-1.451503753662109375e+00,-2.032768011093139648e+00,-2.177484989166259766e+00,-2.220767259597778320e+00,-6.372172236442565918e-01,-1.644057780504226685e-01
-1.443233013153076172e+00,-2.028077363967895508e+00,-2.188233852386474609e+00,-2.211411237716674805e+00,-6.336162686347961426e-01,-1.634691953659057617e-01
-1.434962391853332520e+00,-2.023365736007690430e+00,-2.199611186981201172e+00,-2.201979160308837891e+00,-6.300147771835327148e-01,-1.625326424837112427e-01
-1.426691770553588867e+00,-2.018634319305419922e+00,-2.211633205413818359e+00,-2.192472219467163086e+00,-6.264126896858215332e-01,-1.615960896015167236e-01
-1.418421030044555664e+00,-2.013883352279663086e+00,-2.224315881729125977e+00,-2.182891130447387695e+00,-6.228100657463073730e-01,-1.606594920158386230e-01
-1.410150408744812012e+00,-2.009113311767578125e+00,-2.237674236297607422e+00,-2.173237085342407227e+00,-6.192070841789245605e-01,-1.597229242324829102e-01
-1.401879668235778809e+00,-2.004324913024902344e+00,-2.251722335815429688e+00,-2.163510560989379883e+00,-6.156033873558044434e-01,-1.587863415479660034e-01
-1.393609046936035156e+00,-1.999519348144531250e+00,-2.266474485397338867e+00,-2.153712987899780273e+00,-6.119992733001708984e-01,-1.578497439622879028e-01
-1.385338306427001953e+00,-1.994697332382202148e+00,-2.281943082809448242e+00,-2.143844842910766602e+00,-6.083945631980895996e-01,-1.569131463766098022e-01
-1.377067685127258301e+00,-1.989859819412231445e+00,-2.298140525817871094e+00,-2.133907556533813477e+00,-6.047894358634948730e-01,-1.559765487909317017e-01
-1.368796944618225098e+00,-1.985008716583251953e+00,-2.315076589584350586e+00,-2.123902082443237305e+00,-6.011837124824523926e-01,-1.550399661064147949e-01
-1.360526323318481445e+00,-1.980143427848815918e+00,-2.332760334014892578e+00,-2.113828420639038086e+00,-5.975774526596069336e-01,-1.541033536195755005e-01
-1.352255582809448242e+00,-1.975266695022583008e+00,-2.351201057434082031e+00,-2.103688716888427734e+00,-5.939707756042480469e-01,-1.531667560338973999e-01
-1.343984961509704590e+00,-1.970379114151000977e+00,-2.370403528213500977e+00,-2.093483448028564453e+00,-5.903635025024414062e-01,-1.522301435470581055e-01
-1.335714221000671387e+00,-1.965482711791992188e+00,-2.390373229980468750e+00,-2.083212852478027344e+00,-5.867558121681213379e-01,-1.512935310602188110e-01
-1.327443599700927734e+00,-1.960578203201293945e+00,-2.411113739013671875e+00,-2.072878837585449219e+00,-5.831475853919982910e-01,-1.503569334745407104e-01
-1.319172978401184082e+00,-1.955668568611145020e+00,-2.432624340057373047e+00,-2.062481641769409180e+00,-5.795388221740722656e-01,-1.494203060865402222e-01
-1.310902237892150879e+00,-1.950754523277282715e+00,-2.454905271530151367e+00,-2.052022218704223633e+00,-5.759295821189880371e-01,-1.484836935997009277e-01
-1.302631616592407227e+00,-1.945838928222656250e+00,-2.477953195571899414e+00,-2.041501760482788086e+00,-5.723199248313903809e-01,-1.475470513105392456e-01
-1.294360876083374023e+00,-1.940922975540161133e+00,-2.501762628555297852e+00,-2.030920505523681641e+00,-5.687097907066345215e-01,-1.466104239225387573e-01
-1.286090254783630371e+00,-1.936010241508483887e+00,-2.526325464248657227e+00,-2.020279884338378906e+00,-5.650990605354309082e-01,-1.456737965345382690e-01
-1.277819514274597168e+00,-1.931102156639099121e+00,-2.551631212234497070e+00,-2.009580373764038086e+00,-5.614879727363586426e-01,-1.447371393442153931e-01
-1.269548892974853516e+00,-1.926202178001403809e+00,-2.577667474746704102e+00,-1.998823404312133789e+00,-5.578763484954833984e-01,-1.438005119562149048e-01
-1.261278152465820312e+00,-1.921312570571899414e+00,-2.604418039321899414e+00,-1.988008975982666016e+00,-5.542643666267395020e-01,-1.428638696670532227e-01
