x,a,b,c,d,e
-5.500000119209289551e-01,-7.689502563476562500e+02,-4.248020019531250000e+02,-1.867988586425781250e+02,-6.454620361328125000e+01,-2.197666740417480469e+01
-5.472431182861328125e-01,-7.266213378906250000e+02,-4.018227844238281250e+02,-1.774894409179687500e+02,-6.194834518432617188e+01,-2.132421112060546875e+01
-5.444862246513366699e-01,-6.843173828125000000e+02,-3.789169311523437500e+02,-1.682437133789062500e+02,-5.937250137329101562e+01,-2.067532157897949219e+01
-5.417293310165405273e-01,-6.420484008789062500e+02,-3.560995483398437500e+02,-1.590689544677734375e+02,-5.682003021240234375e+01,-2.003007507324218750e+01
-5.389724373817443848e-01,-5.998286743164062500e+02,-3.333895874023437500e+02,-1.499734649658203125e+02,-5.429240798950195312e+01,-1.938855171203613281e+01
-5.362155437469482422e-01,-5.576780395507812500e+02,-3.108096618652343750e+02,-1.409665832519531250e+02,-5.179114532470703125e+01,-1.875086784362792969e+01
-5.334586501121520996e-01,-5.156245727539062500e+02,-2.883876342773437500e+02,-1.320589447021484375e+02,-4.931792449951171875e+01,-1.811712646484375000e+01
-5.307017564773559570e-01,-4.737074584960937500e+02,-2.661569824218750000e+02,-1.232624359130859375e+02,-4.687442016601562500e+01,-1.748741722106933594e+01
-5.279448628425598145e-01,-4.319814147949218750e+02,-2.441586303710937500e+02,-1.145905456542968750e+02,-4.446248626708984375e+01,-1.686185455322265625e+01
-5.251879692077636719e-01,-3.905227661132812500e+02,-2.224424591064453125e+02,-1.060583724975585938e+02,-4.208403778076171875e+01,-1.624053001403808594e+01
-5.224310755729675293e-01,-3.494371948242187500e+02,-2.010688323974609375e+02,-9.768296051025390625e+01,-3.974107360839843750e+01,-1.562355327606201172e+01
-5.196741819381713867e-01,-3.088707275390625000e+02,-1.801109619140625000e+02,-8.948334503173828125e+01,-3.743569183349609375e+01,-1.501103210449218750e+01
-5.169172883033752441e-01,-2.690228576660156250e+02,-1.596572418212890625e+02,-8.148061370849609375e+01,-3.517010116577148438e+01,-1.440308666229248047e+01
-5.141603946685791016e-01,-2.301626739501953125e+02,-1.398132629394531250e+02,-7.369813537597656250e+01,-3.294656753540039062e+01,-1.379980850219726562e+01
-5.114035010337829590e-01,-1.926472167968750000e+02,-1.207042694091796875e+02,-6.616143798828125000e+01,-3.076742553710937500e+01,-1.320132446289062500e+01
-5.086466073989868164e-01,-1.569373626708984375e+02,-1.024760131835937500e+02,-5.889817428588867188e+01,-2.863508033752441406e+01,-1.260775470733642578e+01
-5.058897137641906738e-01,-1.236051559448242188e+02,-8.529410552978515625e+01,-5.193774414062500000e+01,-2.655199241638183594e+01,-1.201919269561767578e+01
-5.031328201293945312e-01,-9.331918334960937500e+01,-6.933996582031250000e+01,-4.531089019775390625e+01,-2.452063560485839844e+01,-1.143577194213867188e+01
-5.003759264945983887e-01,-6.679005432128906250e+01,-5.480194473266601562e+01,-3.904891586303710938e+01,-2.254351043701171875e+01,-1.085761070251464844e+01
-4.976190626621246338e-01,-4.465838623046875000e+01,-4.186008834838867188e+01,-3.318264770507812500e+01,-2.062308502197265625e+01,-1.028482723236083984e+01
